tour_id,person_id,population_group,role,classification_source,activity_purpose,tour_leg_count,manifest_ride_leg_count,leg_sequences,tour_departure_time_s,departure_period,origin_tcs_zone,first_destination_tcs_zone,second_destination_tcs_zone,tcs26_tour_chain,tour_distance_km,distance_band,household_id,age,sex,dcca,grid_id,tcs_zone,household_private_vehicle_count,potential_household_vehicle_access,is_designated_driver,assigned_vehicle_count,income_band_tcs,housing_type,visitor_day_kind,candidate_leg_count,low_selected_as_taxi,low_classification,base_selected_as_taxi,base_classification,high_selected_as_taxi,high_classification
hk_collective_000529::unspecified_ride_tour,hk_collective_000529,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,68503.0,03_evening_peak_1600_1959,23,4,-1,23>4>23,54.5900864034186,04_20km_plus,,47,F,3413,366,23,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_000569::unspecified_ride_tour,hk_collective_000569,resident,fixed_worker,resident_discretionary_ride_assignment,dining>shopping,3,3,2|3|4,78765.0,04_night_2000_2359,23,1,2,23>1>2>23,53.154780527164675,04_20km_plus,,38,F,3416,367,23,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_000725::unspecified_ride_tour,hk_collective_000725,resident,home_only,resident_discretionary_ride_assignment,leisure>shopping,3,3,0|1|2,58402.0,03_evening_peak_1600_1959,15,15,22,15>15>22>15,41.478639270353966,04_20km_plus,,45,M,3434,419,15,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_000802::unspecified_ride_tour,hk_collective_000802,resident,home_only,resident_discretionary_ride_assignment,leisure,2,2,0|1,39630.0,02_midday_1000_1559,11,19,-1,11>19>11,31.551368124873495,04_20km_plus,,5,M,3213,480,11,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_000856::unspecified_ride_tour,hk_collective_000856,resident,fixed_worker,resident_discretionary_ride_assignment,shopping>personal_business,3,3,2|3|4,63250.0,03_evening_peak_1600_1959,11,19,6,11>19>6>11,35.49338385976468,04_20km_plus,,60,F,3213,500,11,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_000887::unspecified_ride_tour,hk_collective_000887,resident,work_mobile,resident_discretionary_ride_assignment,personal_business,2,2,2|3,61200.0,03_evening_peak_1600_1959,23,23,-1,23>23>23,16.07119541062733,03_10_20km,,39,F,3438,528,23,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_000967::unspecified_ride_tour,hk_collective_000967,resident,home_only,resident_discretionary_ride_assignment,shopping>social,3,3,0|1|2,39767.0,02_midday_1000_1559,13,17,17,13>17>17>13,34.85220659117433,04_20km_plus,,6,M,3128,588,13,0.0,False,False,0.0,,,,3,False,other_ride,True,taxi,True,taxi
hk_collective_000968::unspecified_ride_tour,hk_collective_000968,resident,day_school_student,resident_discretionary_ride_assignment,social>leisure,3,3,2|3|4,64942.0,03_evening_peak_1600_1959,13,16,4,13>16>4>13,58.648664984299046,04_20km_plus,,14,F,3128,588,13,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001005::unspecified_ride_tour,hk_collective_001005,resident,home_only,resident_discretionary_ride_assignment,social,2,2,0|1,53562.0,02_midday_1000_1559,11,2,-1,11>2>11,26.310978773317057,04_20km_plus,,6,F,3214,593,11,0.0,False,False,0.0,,,,2,False,other_ride,False,other_ride,True,taxi
hk_collective_001006::unspecified_ride_tour,hk_collective_001006,resident,fixed_worker,resident_discretionary_ride_assignment,leisure>dining,3,3,2|3|4,71849.0,03_evening_peak_1600_1959,11,14,14,11>14>14>11,33.68168855757149,04_20km_plus,,50,F,3214,593,11,0.0,False,False,0.0,,,,3,True,taxi,False,other_ride,True,taxi
hk_collective_001082::unspecified_ride_tour,hk_collective_001082,resident,fixed_worker,resident_discretionary_ride_assignment,shopping>shopping,3,3,2|3|4,66373.0,03_evening_peak_1600_1959,13,1,2,13>1>2>13,19.091726659904374,03_10_20km,,33,M,3128,615,13,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001145::unspecified_ride_tour,hk_collective_001145,resident,tertiary_student,resident_discretionary_ride_assignment,shopping,2,2,2|3,54087.0,02_midday_1000_1559,11,11,-1,11>11>11,2.134763563354589,01_2_5km,,22,F,3215,651,11,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_001202::unspecified_ride_tour,hk_collective_001202,resident,fixed_worker,resident_discretionary_ride_assignment,personal_business,2,2,2|3,68200.0,03_evening_peak_1600_1959,12,23,-1,12>23>12,30.262341319751943,04_20km_plus,,47,F,3118,679,12,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_001232::unspecified_ride_tour,hk_collective_001232,resident,home_only,resident_discretionary_ride_assignment,shopping,2,2,0|1,50390.0,02_midday_1000_1559,12,19,-1,12>19>12,10.450538373721548,03_10_20km,,35,M,3115,680,12,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001288::unspecified_ride_tour,hk_collective_001288,resident,home_only,resident_discretionary_ride_assignment,personal_business,2,2,0|1,35455.0,01_morning_0600_0959,12,5,-1,12>5>12,14.193781895914901,03_10_20km,,75,M,3115,680,12,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001381::unspecified_ride_tour,hk_collective_001381,resident,work_mobile,resident_discretionary_ride_assignment,shopping,2,2,2|3,68352.0,03_evening_peak_1600_1959,4,1,-1,4>1>4,7.580901385186784,02_5_10km,,60,F,1412,704,4,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_001395::unspecified_ride_tour,hk_collective_001395,resident,day_school_student,resident_discretionary_ride_assignment,shopping,2,2,2|3,55863.0,02_midday_1000_1559,4,6,-1,4>6>4,15.604549178486705,03_10_20km,,11,F,1412,704,4,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001399::unspecified_ride_tour,hk_collective_001399,resident,home_only,resident_discretionary_ride_assignment,leisure>dining,3,3,0|1|2,49737.0,02_midday_1000_1559,4,9,2,4>9>2>4,24.583138257734625,04_20km_plus,,7,M,1412,705,4,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001402::unspecified_ride_tour,hk_collective_001402,resident,work_mobile,resident_discretionary_ride_assignment,dining>leisure,3,3,2|3|4,73353.0,04_night_2000_2359,4,5,5,4>5>5>4,14.919247076797905,03_10_20km,,22,F,1412,705,4,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001415::unspecified_ride_tour,hk_collective_001415,resident,work_home,resident_discretionary_ride_assignment,leisure,2,2,0|1,47230.0,02_midday_1000_1559,1,19,-1,1>19>1,29.302880144642323,04_20km_plus,,29,F,1105,707,1,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001416::unspecified_ride_tour,hk_collective_001416,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,69467.0,03_evening_peak_1600_1959,1,4,-1,1>4>1,7.536497414673044,02_5_10km,,68,F,1105,707,1,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_001419::unspecified_ride_tour,hk_collective_001419,resident,home_only,resident_discretionary_ride_assignment,leisure,2,2,0|1,37515.0,02_midday_1000_1559,1,10,-1,1>10>1,18.26717870866935,03_10_20km,,82,M,1105,707,1,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001444::unspecified_ride_tour,hk_collective_001444,resident,work_mobile,resident_discretionary_ride_assignment,dining,2,2,2|3,69502.0,03_evening_peak_1600_1959,12,4,-1,12>4>12,34.206703759929916,04_20km_plus,,58,M,3117,713,12,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001494::unspecified_ride_tour,hk_collective_001494,resident,home_only,resident_discretionary_ride_assignment,dining,2,2,0|1,63888.0,03_evening_peak_1600_1959,11,17,-1,11>17>11,29.087615522318426,04_20km_plus,,46,F,3218,717,11,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001510::unspecified_ride_tour,hk_collective_001510,resident,home_only,resident_discretionary_ride_assignment,personal_business,2,2,0|1,33051.0,01_morning_0600_0959,18,17,-1,18>17>18,15.562299902191251,03_10_20km,,74,F,3508,731,18,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001553::unspecified_ride_tour,hk_collective_001553,resident,home_only,resident_discretionary_ride_assignment,shopping,2,2,0|1,33870.0,01_morning_0600_0959,18,2,-1,18>2>18,50.72298439683803,04_20km_plus,,73,M,3514,732,18,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_001558::unspecified_ride_tour,hk_collective_001558,resident,fixed_worker,resident_discretionary_ride_assignment,leisure>dining,3,3,2|3|4,74209.0,04_night_2000_2359,18,19,14,18>19>14>18,55.300222878995484,04_20km_plus,,42,M,3514,732,18,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001588::unspecified_ride_tour,hk_collective_001588,resident,home_only,resident_discretionary_ride_assignment,dining>leisure,3,3,0|1|2,51758.0,02_midday_1000_1559,18,18,24,18>18>24>18,10.012914066568872,03_10_20km,,7,M,3515,733,18,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001591::unspecified_ride_tour,hk_collective_001591,resident,home_only,resident_discretionary_ride_assignment,shopping>social,3,3,0|1|2,35465.0,01_morning_0600_0959,4,9,20,4>9>20>4,47.1060315793911,04_20km_plus,,86,F,1413,739,4,0.0,False,False,0.0,,,,3,False,other_ride,True,taxi,True,taxi
hk_collective_001594::unspecified_ride_tour,hk_collective_001594,resident,home_only,resident_discretionary_ride_assignment,social>shopping,3,3,0|1|2,44571.0,02_midday_1000_1559,4,1,1,4>1>1>4,10.089282072104947,03_10_20km,,65,F,1413,739,4,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001607::unspecified_ride_tour,hk_collective_001607,resident,home_only,resident_discretionary_ride_assignment,social,2,2,0|1,43430.0,02_midday_1000_1559,4,4,-1,4>4>4,6.534710815162266,02_5_10km,,90,F,1413,739,4,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001611::unspecified_ride_tour,hk_collective_001611,resident,fixed_worker,resident_discretionary_ride_assignment,leisure>dining,3,3,2|3|4,74299.0,04_night_2000_2359,4,2,5,4>2>5>4,17.21658357228101,03_10_20km,,45,F,1413,739,4,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001626::unspecified_ride_tour,hk_collective_001626,resident,home_only,resident_discretionary_ride_assignment,social,2,2,0|1,50468.0,02_midday_1000_1559,4,3,-1,4>3>4,16.579471248235567,03_10_20km,,58,F,1412,740,4,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001644::unspecified_ride_tour,hk_collective_001644,resident,work_home,resident_discretionary_ride_assignment,shopping,2,2,0|1,52607.0,02_midday_1000_1559,1,1,-1,1>1>1,4.272192480085949,01_2_5km,,50,M,1104,742,1,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001653::unspecified_ride_tour,hk_collective_001653,resident,day_school_student,resident_discretionary_ride_assignment,leisure>shopping,3,3,2|3|4,61642.0,03_evening_peak_1600_1959,1,1,2,1>1>2>1,12.824241245386064,03_10_20km,,14,F,1103,743,1,0.0,False,False,0.0,,,,3,False,other_ride,True,taxi,True,taxi
hk_collective_001680::unspecified_ride_tour,hk_collective_001680,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,66398.0,03_evening_peak_1600_1959,12,14,-1,12>14>12,34.837012462915,04_20km_plus,,55,M,3111,752,12,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001736::unspecified_ride_tour,hk_collective_001736,resident,fixed_worker,resident_discretionary_ride_assignment,leisure,2,2,2|3,66512.0,03_evening_peak_1600_1959,1,1,-1,1>1>1,3.0780191286762566,01_2_5km,,38,F,1104,779,1,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_001743::unspecified_ride_tour,hk_collective_001743,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,71553.0,03_evening_peak_1600_1959,1,6,-1,1>6>1,11.506817112429808,03_10_20km,,52,M,1104,779,1,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001755::unspecified_ride_tour,hk_collective_001755,resident,fixed_worker,resident_discretionary_ride_assignment,social>personal_business,3,3,2|3|4,63969.0,03_evening_peak_1600_1959,1,7,7,1>7>7>1,16.75041355566266,03_10_20km,,59,F,1104,779,1,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001765::unspecified_ride_tour,hk_collective_001765,resident,work_home,resident_discretionary_ride_assignment,leisure,2,2,0|1,38288.0,02_midday_1000_1559,1,5,-1,1>5>1,8.636043063399919,02_5_10km,,70,F,1104,779,1,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001768::unspecified_ride_tour,hk_collective_001768,resident,work_home,resident_discretionary_ride_assignment,personal_business>shopping,3,3,0|1|2,53908.0,02_midday_1000_1559,1,11,11,1>11>11>1,23.11903693071138,04_20km_plus,,62,F,1104,779,1,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001793::unspecified_ride_tour,hk_collective_001793,resident,home_only,resident_discretionary_ride_assignment,shopping,2,2,0|1,44042.0,02_midday_1000_1559,5,7,-1,5>7>5,7.125897523103624,02_5_10km,,49,F,2701,782,5,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001794::unspecified_ride_tour,hk_collective_001794,resident,home_only,resident_discretionary_ride_assignment,shopping,2,2,0|1,44093.0,02_midday_1000_1559,5,5,-1,5>5>5,3.0039744913197586,01_2_5km,,38,M,2701,782,5,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001812::unspecified_ride_tour,hk_collective_001812,resident,home_only,resident_discretionary_ride_assignment,shopping>personal_business,3,3,0|1|2,48290.0,02_midday_1000_1559,6,3,8,6>3>8>6,11.853998682927852,03_10_20km,,31,M,2708,785,6,0.0,False,False,0.0,,,,3,False,other_ride,True,taxi,True,taxi
hk_collective_001840::unspecified_ride_tour,hk_collective_001840,resident,home_only,resident_discretionary_ride_assignment,shopping,2,2,0|1,50561.0,02_midday_1000_1559,17,17,-1,17>17>17,4.789568317207235,01_2_5km,,44,M,3613,799,17,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_001905::unspecified_ride_tour,hk_collective_001905,resident,work_home,resident_discretionary_ride_assignment,social,2,2,0|1,37356.0,02_midday_1000_1559,1,9,-1,1>9>1,16.56924058008185,03_10_20km,,72,F,1104,819,1,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_001927::unspecified_ride_tour,hk_collective_001927,resident,day_school_student,resident_discretionary_ride_assignment,dining>medical,3,3,2|3|4,57298.0,02_midday_1000_1559,1,1,5,1>1>5>1,9.367489562260543,02_5_10km,,11,M,1101,820,1,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001928::unspecified_ride_tour,hk_collective_001928,resident,work_mobile,resident_discretionary_ride_assignment,personal_business,2,2,2|3,65316.0,03_evening_peak_1600_1959,1,21,-1,1>21>1,22.108131288186613,04_20km_plus,,60,F,1101,820,1,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001930::unspecified_ride_tour,hk_collective_001930,resident,home_only,resident_discretionary_ride_assignment,social,2,2,0|1,52319.0,02_midday_1000_1559,1,7,-1,1>7>1,12.908315234220453,03_10_20km,,48,F,1101,820,1,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001947::unspecified_ride_tour,hk_collective_001947,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,63008.0,03_evening_peak_1600_1959,7,11,-1,7>11>7,11.789053815777564,03_10_20km,,24,F,2321,827,7,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_001959::unspecified_ride_tour,hk_collective_001959,resident,home_only,resident_discretionary_ride_assignment,social>dining,3,3,0|1|2,33826.0,01_morning_0600_0959,7,7,5,7>7>5>7,6.071589731344026,02_5_10km,,86,M,2322,828,7,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_001983::unspecified_ride_tour,hk_collective_001983,resident,fixed_worker,resident_discretionary_ride_assignment,leisure>dining,3,3,2|3|4,64237.0,03_evening_peak_1600_1959,17,17,19,17>17>19>17,12.842630718260365,03_10_20km,,62,M,3610,839,17,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_002024::unspecified_ride_tour,hk_collective_002024,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,68563.0,03_evening_peak_1600_1959,24,7,-1,24>7>24,32.13961988459647,04_20km_plus,,44,F,3617,844,24,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002075::unspecified_ride_tour,hk_collective_002075,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,70869.0,03_evening_peak_1600_1959,2,6,-1,2>6>2,10.401126288040983,03_10_20km,,63,F,1212,860,2,0.0,False,False,0.0,,,,2,True,taxi,False,other_ride,True,taxi
hk_collective_002080::unspecified_ride_tour,hk_collective_002080,resident,home_only,resident_discretionary_ride_assignment,shopping>dining,3,3,0|1|2,59548.0,03_evening_peak_1600_1959,5,19,19,5>19>19>5,20.430117624846538,04_20km_plus,,64,M,2701,863,5,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_002083::unspecified_ride_tour,hk_collective_002083,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,71823.0,03_evening_peak_1600_1959,5,9,-1,5>9>5,9.546776435754747,02_5_10km,,65,M,2701,863,5,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002085::unspecified_ride_tour,hk_collective_002085,resident,home_only,resident_discretionary_ride_assignment,personal_business>leisure,3,3,0|1|2,33119.0,01_morning_0600_0959,5,1,5,5>1>5>5,11.836801820107844,03_10_20km,,83,M,2701,863,5,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_002086::unspecified_ride_tour,hk_collective_002086,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,69954.0,03_evening_peak_1600_1959,5,8,-1,5>8>5,2.6807952098137697,01_2_5km,,20,F,2701,863,5,0.0,False,False,0.0,,,,2,True,taxi,False,other_ride,True,taxi
hk_collective_002090::unspecified_ride_tour,hk_collective_002090,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,79200.0,04_night_2000_2359,5,18,-1,5>18>5,47.595802589112104,04_20km_plus,,38,M,2701,863,5,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002094::unspecified_ride_tour,hk_collective_002094,resident,home_only,resident_discretionary_ride_assignment,shopping,2,2,0|1,52388.0,02_midday_1000_1559,5,5,-1,5>5>5,2.6082814623062944,01_2_5km,,31,F,2701,863,5,0.0,False,False,0.0,,,,2,True,taxi,False,other_ride,True,taxi
hk_collective_002097::unspecified_ride_tour,hk_collective_002097,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,68211.0,03_evening_peak_1600_1959,5,5,-1,5>5>5,1.163095057226618,00_0_2km,,68,M,2701,863,5,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002100::unspecified_ride_tour,hk_collective_002100,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,68417.0,03_evening_peak_1600_1959,5,8,-1,5>8>5,4.4318856331424294,01_2_5km,,46,M,2701,863,5,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_002103::unspecified_ride_tour,hk_collective_002103,resident,fixed_worker,resident_discretionary_ride_assignment,leisure>dining,3,3,2|3|4,62675.0,03_evening_peak_1600_1959,5,7,7,5>7>7>5,10.034014510954048,03_10_20km,,62,M,2701,863,5,0.0,False,False,0.0,,,,3,False,other_ride,True,taxi,True,taxi
hk_collective_002109::unspecified_ride_tour,hk_collective_002109,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,78299.0,04_night_2000_2359,5,2,-1,5>2>5,5.498219965766446,02_5_10km,,30,F,2701,863,5,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002138::unspecified_ride_tour,hk_collective_002138,resident,home_only,resident_discretionary_ride_assignment,social,2,2,0|1,34655.0,01_morning_0600_0959,5,12,-1,5>12>5,13.64779433026114,03_10_20km,,88,F,2716,865,5,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_002242::unspecified_ride_tour,hk_collective_002242,resident,home_only,resident_discretionary_ride_assignment,shopping>medical,3,3,0|1|2,57257.0,02_midday_1000_1559,7,10,10,7>10>10>7,6.8547827347176975,02_5_10km,,32,M,2324,868,7,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_002322::unspecified_ride_tour,hk_collective_002322,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,73947.0,04_night_2000_2359,19,17,-1,19>17>19,18.481473478169733,03_10_20km,,25,F,3715,872,19,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002334::unspecified_ride_tour,hk_collective_002334,resident,fixed_worker,resident_discretionary_ride_assignment,medical,2,2,2|3,74813.0,04_night_2000_2359,19,19,-1,19>19>19,9.132865799714871,02_5_10km,,48,M,3721,873,19,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002337::unspecified_ride_tour,hk_collective_002337,resident,day_school_student,resident_discretionary_ride_assignment,dining,2,2,2|3,58104.0,03_evening_peak_1600_1959,19,5,-1,19>5>19,16.81974417733814,03_10_20km,,10,M,3721,873,19,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002387::unspecified_ride_tour,hk_collective_002387,resident,fixed_worker,resident_discretionary_ride_assignment,dining,2,2,2|3,62236.0,03_evening_peak_1600_1959,19,6,-1,19>6>19,12.047884753254575,03_10_20km,,46,F,3721,873,19,0.0,False,False,0.0,,,,2,True,taxi,True,taxi,True,taxi
hk_collective_002470::unspecified_ride_tour,hk_collective_002470,resident,fixed_worker,resident_discretionary_ride_assignment,shopping,2,2,2|3,65783.0,03_evening_peak_1600_1959,2,3,-1,2>3>2,4.279599896464193,01_2_5km,,46,M,1211,899,2,0.0,False,False,0.0,,,,2,False,other_ride,True,taxi,True,taxi
hk_collective_002489::unspecified_ride_tour,hk_collective_002489,resident,day_school_student,resident_discretionary_ride_assignment,social>shopping,3,3,2|3|4,60479.0,03_evening_peak_1600_1959,8,8,3,8>8>3>8,5.893309901154373,02_5_10km,,13,M,2422,904,8,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_002500::unspecified_ride_tour,hk_collective_002500,resident,fixed_worker,resident_discretionary_ride_assignment,leisure>social,3,3,2|3|4,67556.0,03_evening_peak_1600_1959,8,2,2,8>2>2>8,9.227042645995564,02_5_10km,,41,M,2422,904,8,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
hk_collective_002501::unspecified_ride_tour,hk_collective_002501,resident,home_only,resident_discretionary_ride_assignment,social>personal_business,3,3,0|1|2,31752.0,01_morning_0600_0959,8,9,6,8>9>6>8,14.829147026855725,03_10_20km,,79,F,2422,904,8,0.0,False,False,0.0,,,,3,True,taxi,True,taxi,True,taxi
