matsim_line_id,matsim_route_id,official_operator,official_route_id,official_route_sequence,official_direction,route_franchise_scope_status,route_distance_m,stop_count,route_fallback_fare_hkd,fallback_level,fare_resolution_status,fare_resolution_method,fallback_reference_route_ids_json,fallback_reference_values_hkd_json,fallback_reference_count,official_published_fare_hkd,model_fare_hkd,cost_hkd,currency,cost_quality,model_assumption_used,anomaly_flag,anomaly_severity,anomaly_reason,audit_priority,selection_rationale,source_record_ids_json,source_file,source_sha256
line_bus_1000011,bus_1000011_1,LWB,1000011,1,1,confirmed_franchised_route,51597.57199999997,15,32.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000011_1""]",[32.4],1,,32.4,32.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43406;43407;43408;43409;43410;43411;43412;43413;43414;43415;43416;43417;43418;43419;43420""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000013,bus_1000013_1,CTB,1000013,1,1,confirmed_franchised_route,24644.260999999995,15,20.8,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000013_1""]",[20.8],1,,20.8,20.8,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43421;43422;43423;43424;43425;43426;43427;43428;43429;43430;43431;43432;43433;43434;43435""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000013,bus_1000013_2,CTB,1000013,2,2,confirmed_franchised_route,24474.126999999982,15,20.8,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000013_2""]",[20.8],1,,20.8,20.8,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43436;43437;43438;43439;43440;43441;43442;43443;43444;43445;43446;43447;43448;43449;43450""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000014,bus_1000014_1,CTB,1000014,1,1,confirmed_franchised_route,46621.24700000001,25,27.6,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000014_1""]",[27.6],1,,27.6,27.6,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43451;43452;43453;43454;43455;43456;43457;43458;43459;43460;43461;43462;43463;43464;43465;43466;43467;43468;43469;43470;43471;43472;43473;43474;43475""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000014,bus_1000014_2,CTB,1000014,2,2,confirmed_franchised_route,45591.26799999998,25,27.6,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000014_2""]",[27.6],1,,27.6,27.6,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43476;43477;43478;43479;43480;43481;43482;43483;43484;43485;43486;43487;43488;43489;43490;43491;43492;43493;43494;43495;43496;43497;43498;43499;43500""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000015,bus_1000015_1,CTB,1000015,1,1,confirmed_franchised_route,31211.320000000003,27,20.3,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000015_1""]",[20.3],1,,20.3,20.3,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43501;43502;43503;43504;43505;43506;43507;43508;43509;43510;43511;43512;43513;43514;43515;43516;43517;43518;43519;43520;43521;43522;43523;43524;43525;43526;43527""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000016,bus_1000016_1,KMB,1000016,1,1,confirmed_franchised_route,28179.420000000002,20,22.0,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000016_1""]",[22.0],1,,22.0,22.0,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43528;43529;43530;43531;43532;43533;43534;43535;43536;43537;43538;43539;43540;43541;43542;43543;43544;43545;43546;43547""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000016,bus_1000016_2,KMB,1000016,2,2,confirmed_franchised_route,29377.835000000006,22,22.0,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000016_2""]",[22.0],1,,22.0,22.0,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43548;43549;43550;43551;43552;43553;43554;43555;43556;43557;43558;43559;43560;43561;43562;43563;43564;43565;43566;43567;43568;43569""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000021,bus_1000021_1,KMB,1000021,1,1,confirmed_franchised_route,12831.581000000004,25,5.8,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000021_1""]",[5.8],1,,5.8,5.8,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43570;43571;43572;43573;43574;43575;43576;43577;43578;43579;43580;43581;43582;43583;43584;43585;43586;43587;43588;43589;43590;43591;43592;43593;43594""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000022,bus_1000022_1,LWB,1000022,1,1,confirmed_franchised_route,53667.27899999998,24,14.8,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000022_1""]",[14.8],1,,14.8,14.8,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43595;43596;43597;43598;43599;43600;43601;43602;43603;43604;43605;43606;43607;43608;43609;43610;43611;43612;43613;43614;43615;43616;43617;43618""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000022,bus_1000022_2,LWB,1000022,2,2,confirmed_franchised_route,52501.54900000002,22,14.8,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000022_2""]",[14.8],1,,14.8,14.8,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43619;43620;43621;43622;43623;43624;43625;43626;43627;43628;43629;43630;43631;43632;43633;43634;43635;43636;43637;43638;43639;43640""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000023,bus_1000023_1,LWB,1000023,1,1,confirmed_franchised_route,65073.33099999996,26,29.0,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000023_1""]",[29.0],1,,29.0,29.0,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43641;43642;43643;43644;43645;43646;43647;43648;43649;43650;43651;43652;43653;43654;43655;43656;43657;43658;43659;43660;43661;43662;43663;43664;43665;43666""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000023,bus_1000023_2,LWB,1000023,2,2,confirmed_franchised_route,58169.47899999997,24,29.0,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000023_2""]",[29.0],1,,29.0,29.0,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43667;43668;43669;43670;43671;43672;43673;43674;43675;43676;43677;43678;43679;43680;43681;43682;43683;43684;43685;43686;43687;43688;43689;43690""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000024,bus_1000024_1,KMB,1000024,1,1,confirmed_franchised_route,15216.581,11,10.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000024_1""]",[10.4],1,,10.4,10.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43691;43692;43693;43694;43695;43696;43697;43698;43699;43700;43701""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000025,bus_1000025_1,LWB,1000025,1,1,confirmed_franchised_route,46869.194000000025,26,14.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000025_1""]",[14.4],1,,14.4,14.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43702;43703;43704;43705;43706;43707;43708;43709;43710;43711;43712;43713;43714;43715;43716;43717;43718;43719;43720;43721;43722;43723;43724;43725;43726;43727""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000025,bus_1000025_2,LWB,1000025,2,2,confirmed_franchised_route,44875.908999999985,26,14.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000025_2""]",[14.4],1,,14.4,14.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43728;43729;43730;43731;43732;43733;43734;43735;43736;43737;43738;43739;43740;43741;43742;43743;43744;43745;43746;43747;43748;43749;43750;43751;43752;43753""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000026,bus_1000026_1,LWB,1000026,1,1,confirmed_franchised_route,43094.919,25,14.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000026_1""]",[14.4],1,,14.4,14.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43754;43755;43756;43757;43758;43759;43760;43761;43762;43763;43764;43765;43766;43767;43768;43769;43770;43771;43772;43773;43774;43775;43776;43777;43778""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000026,bus_1000026_2,LWB,1000026,2,2,confirmed_franchised_route,41682.10100000002,25,14.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000026_2""]",[14.4],1,,14.4,14.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43779;43780;43781;43782;43783;43784;43785;43786;43787;43788;43789;43790;43791;43792;43793;43794;43795;43796;43797;43798;43799;43800;43801;43802;43803""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000027,bus_1000027_1,LWB,1000027,1,1,confirmed_franchised_route,47964.153000000006,39,14.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000027_1""]",[14.4],1,,14.4,14.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43804;43805;43806;43807;43808;43809;43810;43811;43812;43813;43814;43815;43816;43817;43818;43819;43820;43821;43822;43823;43824;43825;43826;43827;43828;43829;43830;43831;43832;43833;43834;43835;43836;43837;43838;43839;43840;43841;43842""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000027,bus_1000027_2,LWB,1000027,2,2,confirmed_franchised_route,50628.50100000002,38,14.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000027_2""]",[14.4],1,,14.4,14.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43843;43844;43845;43846;43847;43848;43849;43850;43851;43852;43853;43854;43855;43856;43857;43858;43859;43860;43861;43862;43863;43864;43865;43866;43867;43868;43869;43870;43871;43872;43873;43874;43875;43876;43877;43878;43879;43880""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000028,bus_1000028_1,LWB,1000028,1,1,confirmed_franchised_route,41828.257000000005,26,14.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000028_1""]",[14.4],1,,14.4,14.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43881;43882;43883;43884;43885;43886;43887;43888;43889;43890;43891;43892;43893;43894;43895;43896;43897;43898;43899;43900;43901;43902;43903;43904;43905;43906""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000028,bus_1000028_2,LWB,1000028,2,2,confirmed_franchised_route,43039.063999999955,26,14.4,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000028_2""]",[14.4],1,,14.4,14.4,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43907;43908;43909;43910;43911;43912;43913;43914;43915;43916;43917;43918;43919;43920;43921;43922;43923;43924;43925;43926;43927;43928;43929;43930;43931;43932""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000029,bus_1000029_1,LWB,1000029,1,1,confirmed_franchised_route,42500.777000000024,22,34.6,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000029_1""]",[34.6],1,,34.6,34.6,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43933;43934;43935;43936;43937;43938;43939;43940;43941;43942;43943;43944;43945;43946;43947;43948;43949;43950;43951;43952;43953;43954""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
line_bus_1000029,bus_1000029_2,LWB,1000029,2,2,confirmed_franchised_route,35405.679999999986,20,34.6,1,route_fallback,exact_json_route_direction_fullFare,"[""bus_1000029_2""]",[34.6],1,,34.6,34.6,HKD,D,True,True,high,route_level_fallback_for_simulation_coverage,5,exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43955;43956;43957;43958;43959;43960;43961;43962;43963;43964;43965;43966;43967;43968;43969;43970;43971;43972;43973;43974""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
