stop_id,stop_code,stop_name_en,official_route_codes,in_fare_matrix,in_official_route_pattern,in_schedule,schedule_facility_count,schedule_facility_ids_json,candidate_count,candidate_cardinality,candidate_official_stop_ids_json,mapping_status,mapping_quality,matching_method,source_id,unresolved_reason
80,AFF,Affluence,610;751,True,True,True,4,"[""pt_lrt_610_1_AFF__0d338bb9cb_012"",""pt_lrt_610_2_AFF__e81db4920d_013"",""pt_lrt_751_1_AFF__3e4d4104b7_006"",""pt_lrt_751_2_AFF__2396822ec2_016""]",1,one,"[""80""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
90,TMH,Tuen Mun Hospital,610;751,True,True,True,4,"[""pt_lrt_610_1_TMH__0d338bb9cb_013"",""pt_lrt_610_2_TMH__e81db4920d_012"",""pt_lrt_751_1_TMH__3e4d4104b7_007"",""pt_lrt_751_2_TMH__2396822ec2_015""]",1,one,"[""90""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
100,SHL,Siu Hong,505;610;614;614P;615;615P;751,True,True,True,14,"[""pt_lrt_505_1_SHL__8bfeb9f4de_015"",""pt_lrt_505_2_SHL__37cb43f70f_000"",""pt_lrt_610_1_SHL__0d338bb9cb_014"",""pt_lrt_610_2_SHL__e81db4920d_011"",""pt_lrt_614P_1_SHL__f6299b7541_012"",""pt_lrt_614P_2_SHL__240370dd6f_000"",""pt_lrt_614_1_SHL__ac0079977b_012"",""pt_lrt_614_2_SHL__53fc8bc57f_011"",""pt_lrt_615P_1_SHL__0bef1b1dc7_015"",""pt_lrt_615P_2_SHL__a58eee23f4_000"",""pt_lrt_615_1_SHL__30a1330701_014"",""pt_lrt_615_2_SHL__ded13913a6_011"",""pt_lrt_751_1_SHL__3e4d4104b7_008"",""pt_lrt_751_2_SHL__2396822ec2_014""]",1,one,"[""100""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
110,KEL,Kei Lun,505;615P,True,True,True,3,"[""pt_lrt_505_1_KEL__8bfeb9f4de_014"",""pt_lrt_615P_1_KEL__0bef1b1dc7_014"",""pt_lrt_615P_2_KEL__a58eee23f4_001""]",1,one,"[""110""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
120,CHC,Ching Chung,505;615;615P,True,True,True,6,"[""pt_lrt_505_1_CHC__8bfeb9f4de_013"",""pt_lrt_505_2_CHC__37cb43f70f_001"",""pt_lrt_615P_1_CHC__0bef1b1dc7_013"",""pt_lrt_615P_2_CHC__a58eee23f4_002"",""pt_lrt_615_1_CHC__30a1330701_013"",""pt_lrt_615_2_CHC__ded13913a6_012""]",1,one,"[""120""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
130,KIS,Kin Sang,505;615;615P,True,True,True,6,"[""pt_lrt_505_1_KIS__8bfeb9f4de_012"",""pt_lrt_505_2_KIS__37cb43f70f_002"",""pt_lrt_615P_1_KIS__0bef1b1dc7_012"",""pt_lrt_615P_2_KIS__a58eee23f4_003"",""pt_lrt_615_1_KIS__30a1330701_012"",""pt_lrt_615_2_KIS__ded13913a6_013""]",1,one,"[""130""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
140,TNK,Tin King,505;507;615;615P,True,True,True,8,"[""pt_lrt_505_1_TNK__8bfeb9f4de_011"",""pt_lrt_505_2_TNK__37cb43f70f_003"",""pt_lrt_507_1_TNK__f3c4ef233d_015"",""pt_lrt_507_2_TNK__df957ee0dc_000"",""pt_lrt_615P_1_TNK__0bef1b1dc7_011"",""pt_lrt_615P_2_TNK__a58eee23f4_004"",""pt_lrt_615_1_TNK__30a1330701_011"",""pt_lrt_615_2_TNK__ded13913a6_014""]",1,one,"[""140""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
150,LEK,Leung King,505;507;615;615P,True,True,True,8,"[""pt_lrt_505_1_LEK__8bfeb9f4de_010"",""pt_lrt_505_2_LEK__37cb43f70f_004"",""pt_lrt_507_1_LEK__f3c4ef233d_014"",""pt_lrt_507_2_LEK__df957ee0dc_001"",""pt_lrt_615P_1_LEK__0bef1b1dc7_010"",""pt_lrt_615P_2_LEK__a58eee23f4_005"",""pt_lrt_615_1_LEK__30a1330701_010"",""pt_lrt_615_2_LEK__ded13913a6_015""]",1,one,"[""150""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
160,SAW,San Wai,505;507;615;615P,True,True,True,8,"[""pt_lrt_505_1_SAW__8bfeb9f4de_009"",""pt_lrt_505_2_SAW__37cb43f70f_005"",""pt_lrt_507_1_SAW__f3c4ef233d_013"",""pt_lrt_507_2_SAW__df957ee0dc_002"",""pt_lrt_615P_1_SAW__0bef1b1dc7_009"",""pt_lrt_615P_2_SAW__a58eee23f4_006"",""pt_lrt_615_1_SAW__30a1330701_009"",""pt_lrt_615_2_SAW__ded13913a6_016""]",1,one,"[""160""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
170,SHP,Shek Pai,505;610;615;615P,True,True,True,8,"[""pt_lrt_505_1_SHP__8bfeb9f4de_008"",""pt_lrt_505_2_SHP__37cb43f70f_006"",""pt_lrt_610_1_SHP__0d338bb9cb_008"",""pt_lrt_610_2_SHP__e81db4920d_017"",""pt_lrt_615P_1_SHP__0bef1b1dc7_008"",""pt_lrt_615P_2_SHP__a58eee23f4_007"",""pt_lrt_615_1_SHP__30a1330701_008"",""pt_lrt_615_2_SHP__ded13913a6_017""]",1,one,"[""170""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
180,SKN,Shan King (North),505,True,True,True,1,"[""pt_lrt_505_1_SKN__8bfeb9f4de_007""]",1,one,"[""180""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
190,SKS,Shan King (South),505,True,True,True,1,"[""pt_lrt_505_1_SKS__8bfeb9f4de_006""]",1,one,"[""190""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
200,MIK,Ming Kum,505;610;615;615P,True,True,True,7,"[""pt_lrt_505_2_MIK__37cb43f70f_007"",""pt_lrt_610_1_MIK__0d338bb9cb_007"",""pt_lrt_610_2_MIK__e81db4920d_018"",""pt_lrt_615P_1_MIK__0bef1b1dc7_007"",""pt_lrt_615P_2_MIK__a58eee23f4_008"",""pt_lrt_615_1_MIK__30a1330701_007"",""pt_lrt_615_2_MIK__ded13913a6_018""]",1,one,"[""200""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
212,THN,Tai Hing (North),507;610,True,True,True,4,"[""pt_lrt_507_1_THN__f3c4ef233d_012"",""pt_lrt_507_2_THN__df957ee0dc_003"",""pt_lrt_610_1_THN__0d338bb9cb_009"",""pt_lrt_610_2_THN__e81db4920d_016""]",1,one,"[""212""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
220,THS,Tai Hing (South),507;610,True,True,True,4,"[""pt_lrt_507_1_THS__f3c4ef233d_011"",""pt_lrt_507_2_THS__df957ee0dc_004"",""pt_lrt_610_1_THS__0d338bb9cb_010"",""pt_lrt_610_2_THS__e81db4920d_015""]",1,one,"[""220""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
230,NGW,Ngan Wai,507;610,True,True,True,4,"[""pt_lrt_507_1_NGW__f3c4ef233d_010"",""pt_lrt_507_2_NGW__df957ee0dc_005"",""pt_lrt_610_1_NGW__0d338bb9cb_011"",""pt_lrt_610_2_NGW__e81db4920d_014""]",1,one,"[""230""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
240,SHE,Siu Hei,507;614;614P,True,True,True,6,"[""pt_lrt_507_1_SHE__f3c4ef233d_001"",""pt_lrt_507_2_SHE__df957ee0dc_014"",""pt_lrt_614P_1_SHE__f6299b7541_001"",""pt_lrt_614P_2_SHE__240370dd6f_011"",""pt_lrt_614_1_SHE__ac0079977b_001"",""pt_lrt_614_2_SHE__53fc8bc57f_022""]",1,one,"[""240""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
250,TSP,Hoi Wong Road,507;614;614P,True,True,True,6,"[""pt_lrt_507_1_TSP__f3c4ef233d_002"",""pt_lrt_507_2_TSP__df957ee0dc_013"",""pt_lrt_614P_1_TSP__f6299b7541_002"",""pt_lrt_614P_2_TSP__240370dd6f_010"",""pt_lrt_614_1_TSP__ac0079977b_002"",""pt_lrt_614_2_TSP__53fc8bc57f_021""]",1,one,"[""250""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
260,GOG,Goodview Garden,507;614;614P,True,True,True,6,"[""pt_lrt_507_1_GOG__f3c4ef233d_003"",""pt_lrt_507_2_GOG__df957ee0dc_012"",""pt_lrt_614P_1_GOG__f6299b7541_003"",""pt_lrt_614P_2_GOG__240370dd6f_009"",""pt_lrt_614_1_GOG__ac0079977b_003"",""pt_lrt_614_2_GOG__53fc8bc57f_020""]",1,one,"[""260""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
265,SIL,Siu Lun,505;507;614;614P,True,True,True,8,"[""pt_lrt_505_1_SIL__8bfeb9f4de_001"",""pt_lrt_505_2_SIL__37cb43f70f_012"",""pt_lrt_507_1_SIL__f3c4ef233d_004"",""pt_lrt_507_2_SIL__df957ee0dc_011"",""pt_lrt_614P_1_SIL__f6299b7541_004"",""pt_lrt_614P_2_SIL__240370dd6f_008"",""pt_lrt_614_1_SIL__ac0079977b_004"",""pt_lrt_614_2_SIL__53fc8bc57f_019""]",1,one,"[""265""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
270,ONT,On Ting,505;507;614;614P;751,True,True,True,9,"[""pt_lrt_505_1_ONT__8bfeb9f4de_002"",""pt_lrt_505_2_ONT__37cb43f70f_011"",""pt_lrt_507_1_ONT__f3c4ef233d_005"",""pt_lrt_507_2_ONT__df957ee0dc_010"",""pt_lrt_614P_1_ONT__f6299b7541_005"",""pt_lrt_614P_2_ONT__240370dd6f_007"",""pt_lrt_614_1_ONT__ac0079977b_005"",""pt_lrt_614_2_ONT__53fc8bc57f_018"",""pt_lrt_751_1_ONT__3e4d4104b7_001""]",1,one,"[""270""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
275,YAO,Yau Oi,751,True,True,True,2,"[""pt_lrt_751_1_YAO__3e4d4104b7_000"",""pt_lrt_751_2_YAO__2396822ec2_021""]",1,one,"[""275""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
280,TOC,Town Centre,505;507;614;614P;751,True,True,True,10,"[""pt_lrt_505_1_TOC__8bfeb9f4de_003"",""pt_lrt_505_2_TOC__37cb43f70f_010"",""pt_lrt_507_1_TOC__f3c4ef233d_006"",""pt_lrt_507_2_TOC__df957ee0dc_009"",""pt_lrt_614P_1_TOC__f6299b7541_006"",""pt_lrt_614P_2_TOC__240370dd6f_006"",""pt_lrt_614_1_TOC__ac0079977b_006"",""pt_lrt_614_2_TOC__53fc8bc57f_017"",""pt_lrt_751_1_TOC__3e4d4104b7_002"",""pt_lrt_751_2_TOC__2396822ec2_020""]",1,one,"[""280""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
295,TML,Tuen Mun,505;507;751,True,True,True,6,"[""pt_lrt_505_1_TML__8bfeb9f4de_004"",""pt_lrt_505_2_TML__37cb43f70f_009"",""pt_lrt_507_1_TML__f3c4ef233d_007"",""pt_lrt_507_2_TML__df957ee0dc_008"",""pt_lrt_751_1_TML__3e4d4104b7_003"",""pt_lrt_751_2_TML__2396822ec2_019""]",1,one,"[""295""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
300,PUT,Pui To,614;614P,True,True,True,4,"[""pt_lrt_614P_1_PUT__f6299b7541_007"",""pt_lrt_614P_2_PUT__240370dd6f_005"",""pt_lrt_614_1_PUT__ac0079977b_007"",""pt_lrt_614_2_PUT__53fc8bc57f_016""]",1,one,"[""300""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
310,HFT,Hoh Fuk Tong,614;614P,True,True,True,4,"[""pt_lrt_614P_1_HFT__f6299b7541_008"",""pt_lrt_614P_2_HFT__240370dd6f_004"",""pt_lrt_614_1_HFT__ac0079977b_008"",""pt_lrt_614_2_HFT__53fc8bc57f_015""]",1,one,"[""310""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
320,SAH,San Hui,614;614P,True,True,True,4,"[""pt_lrt_614P_1_SAH__f6299b7541_009"",""pt_lrt_614P_2_SAH__240370dd6f_003"",""pt_lrt_614_1_SAH__ac0079977b_009"",""pt_lrt_614_2_SAH__53fc8bc57f_014""]",1,one,"[""320""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
330,PRV,Prime View,614;614P,True,True,True,4,"[""pt_lrt_614P_1_PRV__f6299b7541_010"",""pt_lrt_614P_2_PRV__240370dd6f_002"",""pt_lrt_614_1_PRV__ac0079977b_010"",""pt_lrt_614_2_PRV__53fc8bc57f_013""]",1,one,"[""330""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
340,FUT,Fung Tei,614;614P,True,True,True,4,"[""pt_lrt_614P_1_FUT__f6299b7541_011"",""pt_lrt_614P_2_FUT__240370dd6f_001"",""pt_lrt_614_1_FUT__ac0079977b_011"",""pt_lrt_614_2_FUT__53fc8bc57f_012""]",1,one,"[""340""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
350,LTE,Lam Tei,610;614;615;751,True,True,True,8,"[""pt_lrt_610_1_LTE__0d338bb9cb_015"",""pt_lrt_610_2_LTE__e81db4920d_010"",""pt_lrt_614_1_LTE__ac0079977b_013"",""pt_lrt_614_2_LTE__53fc8bc57f_010"",""pt_lrt_615_1_LTE__30a1330701_015"",""pt_lrt_615_2_LTE__ded13913a6_010"",""pt_lrt_751_1_LTE__3e4d4104b7_009"",""pt_lrt_751_2_LTE__2396822ec2_013""]",1,one,"[""350""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
360,NAW,Nai Wai,610;614;615;751,True,True,True,8,"[""pt_lrt_610_1_NAW__0d338bb9cb_016"",""pt_lrt_610_2_NAW__e81db4920d_009"",""pt_lrt_614_1_NAW__ac0079977b_014"",""pt_lrt_614_2_NAW__53fc8bc57f_009"",""pt_lrt_615_1_NAW__30a1330701_016"",""pt_lrt_615_2_NAW__ded13913a6_009"",""pt_lrt_751_1_NAW__3e4d4104b7_010"",""pt_lrt_751_2_NAW__2396822ec2_012""]",1,one,"[""360""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
370,CUT,Chung Uk Tsuen,610;614;615;751,True,True,True,8,"[""pt_lrt_610_1_CUT__0d338bb9cb_017"",""pt_lrt_610_2_CUT__e81db4920d_008"",""pt_lrt_614_1_CUT__ac0079977b_015"",""pt_lrt_614_2_CUT__53fc8bc57f_008"",""pt_lrt_615_1_CUT__30a1330701_017"",""pt_lrt_615_2_CUT__ded13913a6_008"",""pt_lrt_751_1_CUT__3e4d4104b7_011"",""pt_lrt_751_2_CUT__2396822ec2_011""]",1,one,"[""370""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
380,HSK,Hung Shui Kiu,610;614;615;751,True,True,True,8,"[""pt_lrt_610_1_HSK__0d338bb9cb_018"",""pt_lrt_610_2_HSK__e81db4920d_007"",""pt_lrt_614_1_HSK__ac0079977b_016"",""pt_lrt_614_2_HSK__53fc8bc57f_007"",""pt_lrt_615_1_HSK__30a1330701_018"",""pt_lrt_615_2_HSK__ded13913a6_007"",""pt_lrt_751_1_HSK__3e4d4104b7_012"",""pt_lrt_751_2_HSK__2396822ec2_010""]",1,one,"[""380""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
390,TOF,Tong Fong Tsuen,610;614;615;761P,True,True,True,8,"[""pt_lrt_610_1_TOF__0d338bb9cb_019"",""pt_lrt_610_2_TOF__e81db4920d_006"",""pt_lrt_614_1_TOF__ac0079977b_017"",""pt_lrt_614_2_TOF__53fc8bc57f_006"",""pt_lrt_615_1_TOF__30a1330701_019"",""pt_lrt_615_2_TOF__ded13913a6_006"",""pt_lrt_761P_1_TOF__ce958a9804_007"",""pt_lrt_761P_2_TOF__ac964b0363_006""]",1,one,"[""390""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
400,PIS,Ping Shan,610;614;615;761P,True,True,True,8,"[""pt_lrt_610_1_PIS__0d338bb9cb_020"",""pt_lrt_610_2_PIS__e81db4920d_005"",""pt_lrt_614_1_PIS__ac0079977b_018"",""pt_lrt_614_2_PIS__53fc8bc57f_005"",""pt_lrt_615_1_PIS__30a1330701_020"",""pt_lrt_615_2_PIS__ded13913a6_005"",""pt_lrt_761P_1_PIS__ce958a9804_008"",""pt_lrt_761P_2_PIS__ac964b0363_005""]",1,one,"[""400""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
425,HMT,Hang Mei Tsuen,751;761P,True,True,True,4,"[""pt_lrt_751_1_HMT__3e4d4104b7_013"",""pt_lrt_751_2_HMT__2396822ec2_009"",""pt_lrt_761P_1_HMT__ce958a9804_006"",""pt_lrt_761P_2_HMT__ac964b0363_007""]",1,one,"[""425""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
430,TSL,Tin Shui Wai,705;706;751,True,True,True,6,"[""pt_lrt_705_LOOP_TSL__85a0a1cb16_000"",""pt_lrt_705_LOOP_TSL__85a0a1cb16_015"",""pt_lrt_706_LOOP_TSL__613c7dcaf7_000"",""pt_lrt_706_LOOP_TSL__613c7dcaf7_015"",""pt_lrt_751_1_TSL__3e4d4104b7_014"",""pt_lrt_751_2_TSL__2396822ec2_008""]",1,one,"[""430""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
435,TIT,Tin Tsz,705;706;751,True,True,True,4,"[""pt_lrt_705_LOOP_TIT__85a0a1cb16_001"",""pt_lrt_706_LOOP_TIT__613c7dcaf7_014"",""pt_lrt_751_1_TIT__3e4d4104b7_015"",""pt_lrt_751_2_TIT__2396822ec2_007""]",1,one,"[""435""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
445,TIY,Tin Yiu,705;706;761P,True,True,True,4,"[""pt_lrt_705_LOOP_TIY__85a0a1cb16_014"",""pt_lrt_706_LOOP_TIY__613c7dcaf7_001"",""pt_lrt_761P_1_TIY__ce958a9804_005"",""pt_lrt_761P_2_TIY__ac964b0363_008""]",1,one,"[""445""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
448,LOC,Locwood,705;706;761P,True,True,True,4,"[""pt_lrt_705_LOOP_LOC__85a0a1cb16_013"",""pt_lrt_706_LOOP_LOC__613c7dcaf7_002"",""pt_lrt_761P_1_LOC__ce958a9804_004"",""pt_lrt_761P_2_LOC__ac964b0363_009""]",1,one,"[""448""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
450,TWU,Tin Wu,705;706;751,True,True,True,4,"[""pt_lrt_705_LOOP_TWU__85a0a1cb16_002"",""pt_lrt_706_LOOP_TWU__613c7dcaf7_013"",""pt_lrt_751_1_TWU__3e4d4104b7_016"",""pt_lrt_751_2_TWU__2396822ec2_006""]",1,one,"[""450""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
455,GIN,Ginza,705;706;751,True,True,True,4,"[""pt_lrt_705_LOOP_GIN__85a0a1cb16_003"",""pt_lrt_706_LOOP_GIN__613c7dcaf7_012"",""pt_lrt_751_1_GIN__3e4d4104b7_017"",""pt_lrt_751_2_GIN__2396822ec2_005""]",1,one,"[""455""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
460,TSU,Tin Shui,705;706;761P,True,True,True,4,"[""pt_lrt_705_LOOP_TSU__85a0a1cb16_012"",""pt_lrt_706_LOOP_TSU__613c7dcaf7_003"",""pt_lrt_761P_1_TSU__ce958a9804_003"",""pt_lrt_761P_2_TSU__ac964b0363_010""]",1,one,"[""460""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
468,CHF,Chung Fu,705;706;751;761P,True,True,True,6,"[""pt_lrt_705_LOOP_CHF__85a0a1cb16_011"",""pt_lrt_706_LOOP_CHF__613c7dcaf7_004"",""pt_lrt_751_1_CHF__3e4d4104b7_020"",""pt_lrt_751_2_CHF__2396822ec2_002"",""pt_lrt_761P_1_CHF__ce958a9804_002"",""pt_lrt_761P_2_CHF__ac964b0363_011""]",1,one,"[""468""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
480,TFU,Tin Fu,705;706;751;761P,True,True,True,6,"[""pt_lrt_705_LOOP_TFU__85a0a1cb16_010"",""pt_lrt_706_LOOP_TFU__613c7dcaf7_005"",""pt_lrt_751_1_TFU__3e4d4104b7_021"",""pt_lrt_751_2_TFU__2396822ec2_001"",""pt_lrt_761P_1_TFU__ce958a9804_001"",""pt_lrt_761P_2_TFU__ac964b0363_012""]",1,one,"[""480""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
490,CHE,Chestwood,751,True,True,True,2,"[""pt_lrt_751_1_CHE__3e4d4104b7_019"",""pt_lrt_751_2_CHE__2396822ec2_003""]",1,one,"[""490""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
500,TWI,Tin Wing,705;706;751,True,True,True,4,"[""pt_lrt_705_LOOP_TWI__85a0a1cb16_004"",""pt_lrt_706_LOOP_TWI__613c7dcaf7_011"",""pt_lrt_751_1_TWI__3e4d4104b7_018"",""pt_lrt_751_2_TWI__2396822ec2_004""]",1,one,"[""500""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
510,TYU,Tin Yuet,705;706,True,True,True,2,"[""pt_lrt_705_LOOP_TYU__85a0a1cb16_005"",""pt_lrt_706_LOOP_TYU__613c7dcaf7_010""]",1,one,"[""510""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
