quote_id,actual_transport_mode,matsim_line_id,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,day_type,time_period,travel_date,temporal_basis,cost_component,fare_amount_role,published_fare_hkd,cost_hkd,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,cost_quality,mapping_status,mapping_quality,cost_applicability_status,source_record_id,source_record_ids_json,route_franchise_scope_status,unresolved_reason,transfer_concession_hkd,transfer_concession_status
alighting_unknown,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,999999999,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,alighting_stop_not_in_route,,not_modelled
travel_date_nonempty,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,2026-07-20,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,fare_effective_period_not_encoded_for_travel_date,,not_modelled
temporal_basis_wrong,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,travel_date,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,temporal_basis_must_be_source_snapshot_only,,not_modelled
passenger_adult,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,adult,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,passenger_type_not_proven_by_source,,not_modelled
payment_octopus,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,Octopus,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,payment_medium_not_proven_by_source,,not_modelled
service_class_specific,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,air_conditioned,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,service_class_not_proven_by_source,,not_modelled
transfer_requested,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,transfer_concession_not_modelled_request_rejected,,not_modelled
fullfare_fallback_rejected,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,10000016,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,fullfare_fallback_prohibited,,not_modelled
missing_required_line,bus,,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,missing_required_matsim_line_id,,not_modelled
non_bus_mode,pt,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,unspecified,unspecified,unspecified,unspecified,unspecified,,source_snapshot_only,pt_fare,,,,,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,U,unresolved,U,not_applicable_unresolved_request,,[],confirmed_franchised_route,actual_transport_mode_must_be_bus,,not_modelled
