source_id,source_file,table_or_object,field_name,field_type,non_null_count,unique_count,sample_values_json,semantic_interpretation,semantic_evidence,machine_usable,required_for_pricing,ambiguity_status,unresolved_reason
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!routes.txt,routes.txt,route_url,string,778,778,"[""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000410"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000511"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000819"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000961"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000964"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000967"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000968"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000970""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!stops.txt,stops.txt,location_type,integer,4760,1,"[""0""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!stops.txt,stops.txt,stop_id,integer,4760,4760,"[""20000003"",""20000004"",""20000007"",""20000008"",""20000009"",""20000010"",""20000011"",""20000012""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!stops.txt,stops.txt,stop_lat,number,4760,4174,"[""22.21181"",""22.21537"",""22.21614"",""22.21629"",""22.21671"",""22.21680"",""22.21696"",""22.21735""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!stops.txt,stops.txt,stop_lon,number,4760,4147,"[""113.93202"",""113.93220"",""113.93332"",""113.93475"",""113.93859"",""113.93978"",""113.94046"",""113.94309""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!stops.txt,stops.txt,stop_name,string,4760,4302,"[""DOMUS"",""DOMAIN"",""LO WAI"",""PO MIN"",""TAI WO"",""UPTOWN"",""KAI TAK"",""MOSTOWN""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!stops.txt,stops.txt,stop_timezone,string,4760,1,"[""Asia/Hong_Kong""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!stops.txt,stops.txt,zone_id,integer,4760,4760,"[""20000003"",""20000004"",""20000007"",""20000008"",""20000009"",""20000010"",""20000011"",""20000012""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_attributes.txt,fare_attributes.txt,agency_id,string,98269,1,"[""GMB""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_attributes.txt,fare_attributes.txt,currency_type,string,98269,1,"[""HKD""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_attributes.txt,fare_attributes.txt,fare_id,string,98269,98269,"[""2000410-1-1-2"",""2000410-1-1-3"",""2000410-1-1-4"",""2000410-1-1-5"",""2000410-1-1-6"",""2000410-1-1-7"",""2000410-1-1-8"",""2000410-1-1-9""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_attributes.txt,fare_attributes.txt,payment_method,integer,98269,1,"[""0""]",GTFS payment timing code 0; it does not identify cash or Octopus.,constant 0 and no payment-medium field,false,false,unspecified_in_source,cash versus Octopus is not encoded
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_attributes.txt,fare_attributes.txt,price,number,98269,143,"[""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10""]","Published numeric amount; passenger, payment, ticket and sectional/full-fare basis are not stated.","no adult, child, cash, Octopus, ticket-type, or fare-scope field exists",true,true,unspecified_in_source,passenger/payment/ticket applicability is not encoded
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_attributes.txt,fare_attributes.txt,transfers,integer,98269,1,"[""0""]",GTFS transfer-count code 0.,constant 0,true,false,resolved_no_transfer_on_record,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_rules.txt,fare_rules.txt,destination_id,integer,98269,4710,"[""20000003"",""20000004"",""20000007"",""20000008"",""20000009"",""20000010"",""20000011"",""20000012""]",Ordered alighting stop ID.,joins stops.txt,true,true,resolved,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_rules.txt,fare_rules.txt,fare_id,string,98269,98269,"[""2000410-1-1-2"",""2000410-1-1-3"",""2000410-1-1-4"",""2000410-1-1-5"",""2000410-1-1-6"",""2000410-1-1-7"",""2000410-1-1-8"",""2000410-1-1-9""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_rules.txt,fare_rules.txt,origin_id,integer,98269,4703,"[""20000003"",""20000004"",""20000007"",""20000008"",""20000009"",""20000010"",""20000011"",""20000012""]",Ordered boarding stop ID.,joins stops.txt,true,true,resolved,
td_gtfs_20260720,data/transit/hongkong/PublicTransportGTFS/gtfs.zip!fare_rules.txt,fare_rules.txt,route_id,integer,98269,778,"[""2000410"",""2000511"",""2000819"",""2000961"",""2000964"",""2000967"",""2000968"",""2000970""]",Official route identifier without direction.,joins routes.txt,true,true,resolved_route_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,companyCode,string,13100,1,"[""GMB""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,district,string,13100,3,"[""NT"",""HKI"",""KLN""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,fullFare,number,13100,121,"[""0.0"",""3.3"",""3.4"",""3.5"",""3.6"",""3.7"",""3.8"",""3.9""]","Route-sequence full-fare reference, not an ordered stop-OD rule.",constant per routeId+routeSeq and separate from GTFS fare_rules,false,false,reference_only,passenger/payment/effective-period and flat-fare applicability are not encoded
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,hyperlinkC,string,13100,778,"[""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000410"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000511"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000819"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000961"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000964"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000967"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000968"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=TC&route_id=2000970""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,hyperlinkE,string,13100,778,"[""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000410"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000511"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000819"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000961"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000964"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000967"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000968"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=EN&route_id=2000970""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,hyperlinkS,string,13100,778,"[""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000410"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000511"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000819"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000961"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000964"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000967"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000968"",""https://h2-app-rr.hkemobility.gov.hk/ris_page/get_gmb_detail.php?lang=SC&route_id=2000970""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,journeyTime,integer,13100,54,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,lastUpdateDate,string,13100,76,"[""2023-07-31T00:00:00"",""2024-04-22T00:00:00"",""2024-06-18T00:00:00"",""2024-07-29T00:00:00"",""2024-08-01T00:00:00"",""2024-11-16T00:00:00"",""2025-01-02T00:00:00"",""2025-01-30T00:00:00""]","Record update timestamp, not route-fare effective date.",field name and varying timestamps,true,false,provenance_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,locEndNameC,string,13100,677,"[""上水"",""利安"",""啟德"",""坑頭"",""坪石"",""坪輋"",""寶琳"",""川龍""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,locEndNameE,string,13100,697,"[""Lo Wai "",""Lok Fu "",""Ho Chung "",""Kam Shan "",""Mong Kok "",""Sai Kung "",""Tsui Lam "",""Tung Tsz ""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,locEndNameS,string,13100,681,"[""上水"",""乐富"",""利安"",""启德"",""坑头"",""坪石"",""坪輋"",""宝琳""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,locStartNameC,string,13100,409,"[""公庵"",""北港"",""坑口"",""富山"",""寶琳"",""峻弦"",""峻瀅"",""康山""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,locStartNameE,string,13100,424,"[""顺天"",""Aria"",""Ma Wo"",""FO TAN"",""Lok Fu"",""Po Lam"",""Yiu On"",""Fu Shan""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,locStartNameS,string,13100,420,"[""乐富"",""公庵"",""凤园"",""北港"",""厦村"",""坑口"",""宝琳"",""富山""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,routeId,integer,13100,778,"[""2000410"",""2000511"",""2000819"",""2000961"",""2000964"",""2000967"",""2000968"",""2000970""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,routeNameC,string,13100,476,"[""1"",""2"",""3"",""4"",""5"",""7"",""8"",""9""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,routeNameE,string,13100,476,"[""1"",""2"",""3"",""4"",""5"",""7"",""8"",""9""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,routeNameS,string,13100,476,"[""1"",""2"",""3"",""4"",""5"",""7"",""8"",""9""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,routeSeq,integer,13100,2,"[""1"",""2""]",Official route-sequence identifier whose complete ordered stop pattern uniquely identifies a MATSim direction.,"all 1,161 routeId+routeSeq+stopSeq patterns are unique and match exactly one schedule route",true,true,resolved_by_complete_data_structure,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,routeType,integer,13100,1,"[""2""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,serviceMode,string,13100,4,"[""N"",""R"",""T"",""NT""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,specialType,integer,13100,2,"[""0"",""1""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,stopId,integer,13100,4760,"[""20000003"",""20000004"",""20000007"",""20000008"",""20000009"",""20000010"",""20000011"",""20000012""]",Official stop ID.,exact cross-source ID equality,true,true,resolved,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,stopNameC,string,13100,4860,"[""元嶺"",""北港"",""啟德"",""坡面"",""大窩"",""尚築"",""川龍"",""柏𣾷""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,stopNameE,string,13100,5058,"[""Domus"",""Domain"",""Lo Wai"",""Po Min"",""Tai Wo"",""Uptown"",""Kai Tak"",""MOSTown""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,stopNameS,string,13100,4924,"[""元岭"",""凤园"",""北港"",""启德"",""坡面"",""大窝"",""尚城"",""尚筑""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,stopPickDrop,integer,13100,3,"[""1"",""2"",""3""]","Source identification, description, or provenance field.",field name and source values,true,false,reference_only,
td_gmb_route_fares_20260720,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,gmb_route_stop_points.json,stopSeq,integer,13100,47,"[""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8""]",Ordered stop position within routeId+routeSeq.,complete official sequence,true,true,resolved,
derived_gmb_fare_v1,gmb_fare_rules.parquet,active_gmb_rule_schema,published_fare_hkd,number,97521,144,"[""0.0"",""0.5"",""1.4"",""1.5"",""1.6"",""1.7"",""1.9"",""10.0""]",neutral amount copied exactly from GTFS price,conservative transformation of direct raw fields,true,true,resolved_with_explicit_limitation,
derived_gmb_fare_v1,gmb_fare_rules.parquet,active_gmb_rule_schema,mapping_quality,string,97521,1,"[""A""]",route/direction/ordered-OD evidence quality,conservative transformation of direct raw fields,true,true,resolved_with_explicit_limitation,
derived_gmb_fare_v1,gmb_fare_rules.parquet,active_gmb_rule_schema,cost_quality,string,97521,2,"[""B"",""U""]",published-cost applicability quality separate from mapping,conservative transformation of direct raw fields,true,true,resolved_with_explicit_limitation,
derived_gmb_fare_v1,gmb_fare_rules.parquet,active_gmb_rule_schema,cost_applicability_status,string,97521,2,"[""published_amount_only_passenger_payment_and_effective_period_unspecified"",""unresolved""]",explicit passenger/payment/effective-period limitation,conservative transformation of direct raw fields,true,true,resolved_with_explicit_limitation,
derived_gmb_fare_v1,gmb_fare_rules.parquet,active_gmb_rule_schema,cost_effective_date,null,0,0,[],empty because no route-fare effective date is encoded,conservative transformation of direct raw fields,true,true,resolved_with_explicit_limitation,
derived_gmb_fare_v1,gmb_fare_rules.parquet,active_gmb_rule_schema,source_revision_cutoff_date,string,97521,1,"[""2026-07-14""]","TD dataset revision cut-off, not fare effective date",conservative transformation of direct raw fields,true,true,resolved_with_explicit_limitation,
derived_gmb_fare_v1,gmb_fare_rules.parquet,active_gmb_rule_schema,source_download_date,string,97521,1,"[""2026-07-20""]",local official snapshot download date,conservative transformation of direct raw fields,true,true,resolved_with_explicit_limitation,
