person_id,unrouted_leg_sequence,main_trip_index,mapped_routed_raw_leg_sequence,origin_activity_type,destination_activity_type,mode_before,mode_after,route_distance_m,actual_travel_time_s,route_attributes_hash_before,route_attributes_hash_after,route_text_hash_before,route_text_hash_after,taxi_type,classification_source,fare_baseline_hkd,fare_attribute_written_hkd,attribute_match,conversion_status
hk_collective_000569,3,3,3,dining,shopping,ride,taxi,6050.252000000001,356.0,1e3f437845c429cbcfcbb9ae5506015575d47ef0725840b2e905553aa7722018,1e3f437845c429cbcfcbb9ae5506015575d47ef0725840b2e905553aa7722018,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,73.1,73.1,True,converted_validated
hk_collective_000569,4,4,4,shopping,home,ride,taxi,35234.66299999999,1821.0,5513f5f1d9684de88d74021bba86b0c40645d5a8f0181eec066df6f482baf5b5,5513f5f1d9684de88d74021bba86b0c40645d5a8f0181eec066df6f482baf5b5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,287.3,287.3,True,converted_validated
hk_collective_000719,0,0,0,home,work,ride,taxi,3443.7750000000005,247.0,ca9f4a6bc97773da44c416d97359aadccd3a6b02cd51124bb8b06f8186a4e71d,ca9f4a6bc97773da44c416d97359aadccd3a6b02cd51124bb8b06f8186a4e71d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,v1_mode_detail_explicit_taxi,40.7,40.7,True,converted_validated
hk_collective_000719,1,1,1,work,home,ride,taxi,3648.1040000000003,261.0,b8bd2e915102cf3f7ada06f99109a19003ddf198d9a13b5da43128e719ea98de,b8bd2e915102cf3f7ada06f99109a19003ddf198d9a13b5da43128e719ea98de,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,v1_mode_detail_explicit_taxi,42.6,42.6,True,converted_validated
hk_collective_000725,0,0,0,home,leisure,ride,taxi,2360.98,169.0,aa34a7d4a152e773470969d2a487025d01d155add55f50e2e72f9a95fc3d6113,aa34a7d4a152e773470969d2a487025d01d155add55f50e2e72f9a95fc3d6113,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,33.2,33.2,True,converted_validated
hk_collective_000725,1,1,1,leisure,shopping,ride,taxi,26278.507999999994,1365.0,41b9223a1f24c6c92e1a55862c8e7431e71cd02d45ff90278eee21f565f03d52,41b9223a1f24c6c92e1a55862c8e7431e71cd02d45ff90278eee21f565f03d52,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,224.3,224.3,True,converted_validated
hk_collective_000725,2,2,2,shopping,home,ride,taxi,27326.763000000003,1415.0,2205be6ee15243aea18bc8befd777f8e25bd54d794ed650580d11b807c60cae4,2205be6ee15243aea18bc8befd777f8e25bd54d794ed650580d11b807c60cae4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,unresolved,resident_discretionary_ride_assignment,231.3,231.3,True,converted_validated
hk_collective_000802,0,0,0,home,leisure,ride,taxi,24309.412000000004,1374.0,aaec944ee0d8a082daf5c019a203c449dfcf1c80707349ab6d43505c6e34b4b0,aaec944ee0d8a082daf5c019a203c449dfcf1c80707349ab6d43505c6e34b4b0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,210.3,210.3,True,converted_validated
hk_collective_000802,1,1,1,leisure,home,ride,taxi,21382.701000000005,1165.0,4b24ff6942f885a0e4885d723aa96e0882a0fe93c26de204129e9930de872352,4b24ff6942f885a0e4885d723aa96e0882a0fe93c26de204129e9930de872352,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,189.3,189.3,True,converted_validated
hk_collective_000856,2,2,2,home,shopping,ride,taxi,18381.104,991.0,bb4df00ce9baded2cbe9a37d5da83d8d0f430b8650cbb7be96a7179413cd45c3,bb4df00ce9baded2cbe9a37d5da83d8d0f430b8650cbb7be96a7179413cd45c3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,168.3,168.3,True,converted_validated
hk_collective_000856,3,3,3,shopping,personal_business,ride,taxi,10991.792000000001,677.0,ba4c3168669dd0bfbb5f79a64936e64a83b69d575fe71ba9c471a7e1f7423e4a,ba4c3168669dd0bfbb5f79a64936e64a83b69d575fe71ba9c471a7e1f7423e4a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,116.5,116.5,True,converted_validated
hk_collective_000856,4,4,4,personal_business,home,ride,taxi,15965.002,818.0,11fdb13ebb277d0c9fc71c2397052cfa1abe9e683bd07620cc9362caf6550fbc,11fdb13ebb277d0c9fc71c2397052cfa1abe9e683bd07620cc9362caf6550fbc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,151.5,151.5,True,converted_validated
hk_collective_000887,2,2,2,home,personal_business,ride,taxi,13911.859999999997,938.0,e7c29e5a72bc31fc71fde68b4e311dda3fe3363eb9256d70647dc668ee08a462,e7c29e5a72bc31fc71fde68b4e311dda3fe3363eb9256d70647dc668ee08a462,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,124.5,124.5,True,converted_validated
hk_collective_000887,3,3,3,personal_business,home,ride,taxi,13736.534999999996,937.0,c0bf49144a73bea1d87e1dca74910ee9de51342eaa4960f321a93569662fa4f3,c0bf49144a73bea1d87e1dca74910ee9de51342eaa4960f321a93569662fa4f3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,new_territories_taxi,resident_discretionary_ride_assignment,123.1,123.1,True,converted_validated
hk_collective_000967,0,0,0,home,shopping,ride,taxi,26031.067999999996,1326.0,0f6e0a11dd1db5b4f99901fecccd87f37754d70fc1c3b4a4dbdb6279e66b1e78,0f6e0a11dd1db5b4f99901fecccd87f37754d70fc1c3b4a4dbdb6279e66b1e78,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,222.9,222.9,True,converted_validated
hk_collective_000967,1,1,1,shopping,social,ride,taxi,5581.6140000000005,303.0,bb01110cb52f8df3a168de733d77d50db3dde8b71c1c11e844e5c3baca1ec85a,bb01110cb52f8df3a168de733d77d50db3dde8b71c1c11e844e5c3baca1ec85a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,66.8,66.8,True,converted_validated
hk_collective_000967,2,2,2,social,home,ride,taxi,21260.516999999996,1157.0,28bbac1b090472b8d06b2644ad13e9caa7ea6afb474211bd8380b4298fe2eb5c,28bbac1b090472b8d06b2644ad13e9caa7ea6afb474211bd8380b4298fe2eb5c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,189.3,189.3,True,converted_validated
hk_collective_000968,2,2,2,home,social,ride,taxi,23788.459000000003,1276.0,a03e56d64d91c5f682df3bbb073892943931bf394c5524db3fd107dd16e4a914,a03e56d64d91c5f682df3bbb073892943931bf394c5524db3fd107dd16e4a914,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,206.1,206.1,True,converted_validated
hk_collective_000968,3,3,3,social,leisure,ride,taxi,40037.721,2085.0,677f3eabd0f3e2cd94c6045167d0015d9cce9fd5880a7e2084611c81f27a7784,677f3eabd0f3e2cd94c6045167d0015d9cce9fd5880a7e2084611c81f27a7784,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,320.9,320.9,True,converted_validated
hk_collective_000968,4,4,4,leisure,home,ride,taxi,20828.337999999996,1181.0,fd08cfab609a9d48d90607a139ccb95cffddd5b0d287abab8ffa005050133054,fd08cfab609a9d48d90607a139ccb95cffddd5b0d287abab8ffa005050133054,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,186.5,186.5,True,converted_validated
hk_collective_001082,2,2,2,home,shopping,ride,taxi,17176.132000000005,944.0,de37c929d886826e1b4cc722b110159e25793ccefbdbccb4acbb9c08375dad87,de37c929d886826e1b4cc722b110159e25793ccefbdbccb4acbb9c08375dad87,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,159.9,159.9,True,converted_validated
hk_collective_001082,3,3,3,shopping,shopping,ride,taxi,2806.3960000000006,204.0,6589892beae8fee4587abbfeae0c7aa5f279351529a080fc9fa4a206acc89f3e,6589892beae8fee4587abbfeae0c7aa5f279351529a080fc9fa4a206acc89f3e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,39.5,39.5,True,converted_validated
hk_collective_001082,4,4,4,shopping,home,ride,taxi,15441.031999999996,847.0,05031f620d97f29d9f854ecae7d0710157a472b5e64b5f3e0d26e7cad2d41db3,05031f620d97f29d9f854ecae7d0710157a472b5e64b5f3e0d26e7cad2d41db3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,148.7,148.7,True,converted_validated
hk_collective_001145,2,2,2,home,shopping,ride,taxi,1577.808,119.0,1eb1973e5fea3463a029af2aab39e9e9d9e19f249e3e6d5381f9b8275b355c45,1eb1973e5fea3463a029af2aab39e9e9d9e19f249e3e6d5381f9b8275b355c45,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,29.0,29.0,True,converted_validated
hk_collective_001145,3,3,3,shopping,home,ride,taxi,1182.121,85.0,5956e8acec0414fa878561cf88098354db6f0b173e5ff0fca75b6ce6210f3ab0,5956e8acec0414fa878561cf88098354db6f0b173e5ff0fca75b6ce6210f3ab0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,29.0,29.0,True,converted_validated
hk_collective_001202,2,2,2,home,personal_business,ride,taxi,22951.93700000001,1219.0,5d45ab0b056a9dd86a040bf07922d4924c9cb1ac239c3ca8018220f8d210a5e1,5d45ab0b056a9dd86a040bf07922d4924c9cb1ac239c3ca8018220f8d210a5e1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,200.5,200.5,True,converted_validated
hk_collective_001202,3,3,3,personal_business,home,ride,taxi,21952.447999999997,1150.0,ba557c47d47099aa871624320bb373523c1401ee4cc24de40ecdb05e8948aac2,ba557c47d47099aa871624320bb373523c1401ee4cc24de40ecdb05e8948aac2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,193.5,193.5,True,converted_validated
hk_collective_001232,0,0,0,home,shopping,ride,taxi,10982.996999999998,636.0,bf1e05fa208999a540b00ae9af520912b220a96c61733364ad11abc79a9104a1,bf1e05fa208999a540b00ae9af520912b220a96c61733364ad11abc79a9104a1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,116.5,116.5,True,converted_validated
hk_collective_001232,1,1,1,shopping,home,ride,taxi,10254.365999999998,562.0,193641bd2ac076a1a8e3482fcfcdfb691c7798dc274df1e71490248dcad0cd8b,193641bd2ac076a1a8e3482fcfcdfb691c7798dc274df1e71490248dcad0cd8b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,112.3,112.3,True,converted_validated
hk_collective_001288,0,0,0,home,personal_business,ride,taxi,9300.829000000002,480.0,84119adfbe7a8745602913b30060181610d15879204745c2015fefb72815bf15,84119adfbe7a8745602913b30060181610d15879204745c2015fefb72815bf15,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,105.3,105.3,True,converted_validated
hk_collective_001288,1,1,1,personal_business,home,ride,taxi,8753.624000000002,444.0,eb4d267bd2be048080f92180d8c6dca7aca7d9c3ecb2e701485ca35c7cf25d65,eb4d267bd2be048080f92180d8c6dca7aca7d9c3ecb2e701485ca35c7cf25d65,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,urban_taxi,resident_discretionary_ride_assignment,100.4,100.4,True,converted_validated
