displaced_person_id,donor_person_id,student_stage,displaced_tcs_zone,donor_tcs_zone,donor_original_mode,donor_original_mode_detail,pairing_rule,home_distance_m
hk_person_00640837,hk_person_00548989,primary,3,3,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00648149,hk_person_00849643,primary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00657239,hk_person_00396378,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00663747,hk_person_00842994,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00673949,hk_person_00501043,primary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00675616,hk_person_00813774,secondary,3,3,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00675738,hk_person_00401313,primary,3,3,pt,plb,same_stage_tcs,0.0
hk_person_00677997,hk_person_00878545,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00679586,hk_person_00767756,primary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00683978,hk_person_00423374,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00696160,hk_person_00696144,primary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00697038,hk_person_00525156,kindergarten,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00710685,hk_person_00522246,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00723229,hk_person_00619546,primary,3,3,pt,plb,same_stage_tcs,0.0
hk_person_00723665,hk_person_00637073,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00726214,hk_person_00591136,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00737897,hk_person_00432553,primary,3,3,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00749369,hk_person_00718131,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00754202,hk_person_00632541,kindergarten,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00754442,hk_person_00447891,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00797920,hk_person_00897019,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00798033,hk_person_00509787,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00807324,hk_person_00419021,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00809436,hk_person_00630136,secondary,3,3,pt,plb,same_stage_tcs,0.0
hk_person_00825892,hk_person_00432867,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00832870,hk_person_00549549,primary,3,3,pt,mtr,same_stage_tcs,0.0
hk_person_00833478,hk_person_00797713,kindergarten,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00835586,hk_person_00696143,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00835587,hk_person_00411818,kindergarten,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00850781,hk_person_00711061,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00876161,hk_person_00708512,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00882961,hk_person_00795124,secondary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00890671,hk_person_00497611,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00891365,hk_person_00585676,primary,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00906138,hk_person_00871250,primary,3,3,pt,plb,same_stage_tcs,0.0
hk_person_00906456,hk_person_00678226,secondary,3,3,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00906529,hk_person_00413279,kindergarten,3,3,walk,walk,same_stage_tcs,0.0
hk_person_00915126,hk_person_00883653,kindergarten,3,3,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00919945,hk_person_01089775,primary,4,4,pt,mtr,same_stage_tcs,0.0
hk_person_00922361,hk_person_01130245,primary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_00923290,hk_person_00932644,kindergarten,4,4,walk,walk,same_stage_tcs,0.0
hk_person_00928894,hk_person_01159116,kindergarten,4,4,walk,walk,same_stage_tcs,0.0
hk_person_00960402,hk_person_01147198,primary,4,4,pt,franchised_bus,same_stage_tcs,0.0
hk_person_00961468,hk_person_00922902,kindergarten,4,4,walk,walk,same_stage_tcs,0.0
hk_person_00973126,hk_person_01056662,secondary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_00987335,hk_person_00995567,secondary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_00998719,hk_person_01055896,kindergarten,4,4,pt,mtr,same_stage_tcs,0.0
hk_person_01003630,hk_person_01167762,primary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01009367,hk_person_01070348,primary,4,4,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01033027,hk_person_01136690,secondary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01034542,hk_person_00951209,secondary,4,4,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01038886,hk_person_00920361,secondary,4,4,pt,mtr,same_stage_tcs,0.0
hk_person_01042332,hk_person_01106352,secondary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01056956,hk_person_01131314,kindergarten,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01056958,hk_person_01056661,secondary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01057207,hk_person_01123859,kindergarten,4,4,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01058612,hk_person_01086687,secondary,4,4,pt,mtr,same_stage_tcs,0.0
hk_person_01068098,hk_person_00956110,secondary,4,4,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01073476,hk_person_00995671,primary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01074949,hk_person_00987331,secondary,4,4,pt,mtr,same_stage_tcs,0.0
hk_person_01083911,hk_person_01056203,secondary,4,4,pt,plb,same_stage_tcs,0.0
hk_person_01090635,hk_person_01002280,secondary,4,4,pt,mtr,same_stage_tcs,0.0
hk_person_01105400,hk_person_00922115,primary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01106565,hk_person_01055894,secondary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01124207,hk_person_00996677,primary,4,4,pt,mtr,same_stage_tcs,0.0
hk_person_01134275,hk_person_01169661,secondary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01154313,hk_person_01070472,primary,4,4,pt,mtr,same_stage_tcs,0.0
hk_person_01158716,hk_person_01143258,primary,4,4,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01159202,hk_person_00934661,secondary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01164113,hk_person_01001779,primary,4,4,walk,walk,same_stage_tcs,0.0
hk_person_01179770,hk_person_01201957,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01184477,hk_person_01399597,primary,7,7,pt,plb,same_stage_tcs,0.0
hk_person_01190120,hk_person_01489570,secondary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01204503,hk_person_01429843,secondary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01205628,hk_person_01449020,kindergarten,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01207009,hk_person_01405865,secondary,7,7,pt,plb,same_stage_tcs,0.0
hk_person_01209356,hk_person_01503285,secondary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01212286,hk_person_01429172,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01219093,hk_person_01564405,kindergarten,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01222078,hk_person_01289427,primary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01222519,hk_person_01429327,primary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01229399,hk_person_01390789,kindergarten,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01238084,hk_person_01429752,primary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01238827,hk_person_01393089,primary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01238966,hk_person_01449159,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01240889,hk_person_01467968,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01260416,hk_person_01327430,primary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01261101,hk_person_01429450,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01262071,hk_person_01429750,primary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01276058,hk_person_01243031,secondary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01277966,hk_person_01190945,primary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01278591,hk_person_01314721,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01280371,hk_person_01525146,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01289365,hk_person_01369876,kindergarten,7,7,pt,lrt,same_stage_tcs,0.0
hk_person_01314024,hk_person_01578471,primary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01314408,hk_person_01429844,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01319471,hk_person_01394495,secondary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01334985,hk_person_01196789,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01348957,hk_person_01472339,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01348969,hk_person_01429557,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01349254,hk_person_01313100,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01374534,hk_person_01221725,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01384756,hk_person_01371374,primary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01386096,hk_person_01279461,kindergarten,7,7,pt,plb,same_stage_tcs,0.0
hk_person_01389016,hk_person_01193247,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01395712,hk_person_01474750,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01400266,hk_person_01279460,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01405926,hk_person_01177944,secondary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01430918,hk_person_01459507,secondary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01439209,hk_person_01394657,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01458495,hk_person_01449918,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01459414,hk_person_01414692,secondary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01460836,hk_person_01371107,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01470538,hk_person_01485078,kindergarten,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01473962,hk_person_01391543,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01475605,hk_person_01429559,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01500801,hk_person_01575889,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01506917,hk_person_01568894,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01506937,hk_person_01382399,primary,7,7,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01507986,hk_person_01459390,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01515198,hk_person_01430255,secondary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01515696,hk_person_01252187,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01535997,hk_person_01219684,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01536517,hk_person_01459508,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01544816,hk_person_01459509,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01549838,hk_person_01273652,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01551766,hk_person_01263826,secondary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01554089,hk_person_01196910,secondary,7,7,pt,mtr,same_stage_tcs,0.0
hk_person_01555687,hk_person_01370199,kindergarten,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01565006,hk_person_01431364,primary,7,7,walk,walk,same_stage_tcs,0.0
hk_person_01596743,hk_person_01894242,secondary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01606646,hk_person_01775724,primary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01619278,hk_person_01870397,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01625510,hk_person_01618291,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01636008,hk_person_01696784,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01637368,hk_person_01985616,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01647846,hk_person_01921082,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01662529,hk_person_01926834,kindergarten,8,8,pt,lrt,same_stage_tcs,0.0
hk_person_01667817,hk_person_01877423,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01699597,hk_person_01623319,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01715280,hk_person_01744660,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01723314,hk_person_01854700,primary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01724011,hk_person_01905282,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01740379,hk_person_01985617,primary,8,8,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01742037,hk_person_01597523,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01754152,hk_person_01855827,primary,8,8,pt,plb,same_stage_tcs,0.0
hk_person_01763573,hk_person_01755621,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01773808,hk_person_01636214,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01774889,hk_person_01882963,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01774905,hk_person_01895067,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01775283,hk_person_01974650,secondary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01777892,hk_person_01881483,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01783455,hk_person_01705409,kindergarten,8,8,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01787471,hk_person_01709436,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01787573,hk_person_01760547,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01790785,hk_person_01854704,secondary,8,8,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01800858,hk_person_01765304,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01802079,hk_person_01740723,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01809418,hk_person_01855825,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01812661,hk_person_01619548,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01813443,hk_person_01797952,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01813529,hk_person_01779721,primary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01814138,hk_person_01848965,secondary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01820512,hk_person_01855835,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01825514,hk_person_01901908,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01845610,hk_person_01707964,primary,8,8,pt,lrt,same_stage_tcs,0.0
hk_person_01855443,hk_person_01902265,primary,8,8,pt,ferry,same_stage_tcs,0.0
hk_person_01855794,hk_person_01906467,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01857527,hk_person_01704906,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01864402,hk_person_01635396,secondary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01871183,hk_person_01724092,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01873109,hk_person_01862845,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01885924,hk_person_01878758,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01892178,hk_person_01750531,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01896700,hk_person_01873136,primary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01900846,hk_person_01938300,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01903207,hk_person_01755547,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01904538,hk_person_01814117,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01921563,hk_person_01695136,secondary,8,8,pt,franchised_bus,same_stage_tcs,0.0
hk_person_01922569,hk_person_01755452,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01923382,hk_person_01742282,secondary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01928260,hk_person_01888866,primary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01931122,hk_person_01879014,kindergarten,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01939761,hk_person_01983434,primary,8,8,pt,mtr,same_stage_tcs,0.0
hk_person_01939835,hk_person_01985235,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01970346,hk_person_01883049,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01970457,hk_person_01755546,kindergarten,8,8,pt,lrt,same_stage_tcs,0.0
hk_person_01971130,hk_person_01880005,kindergarten,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01994326,hk_person_01901909,secondary,8,8,walk,walk,same_stage_tcs,0.0
hk_person_01998980,hk_person_02340080,primary,10,10,pt,plb,same_stage_tcs,0.0
hk_person_02002464,hk_person_02131892,secondary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02005942,hk_person_02370672,kindergarten,10,10,pt,lrt,same_stage_tcs,0.0
hk_person_02012680,hk_person_02121925,primary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02014103,hk_person_02119671,primary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02014175,hk_person_01998861,secondary,10,10,pt,plb,same_stage_tcs,0.0
hk_person_02030343,hk_person_02044006,secondary,10,10,pt,tram,same_stage_tcs,0.0
hk_person_02049828,hk_person_02089177,kindergarten,10,10,pt,lrt,same_stage_tcs,0.0
hk_person_02053206,hk_person_02206301,primary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02063042,hk_person_02149565,primary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02063486,hk_person_02092788,primary,10,10,pt,franchised_bus,same_stage_tcs,0.0
hk_person_02063898,hk_person_02163642,kindergarten,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02077593,hk_person_02078460,secondary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02083946,hk_person_02335319,primary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02086192,hk_person_02028846,primary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02093414,hk_person_02012912,secondary,10,10,pt,lrt,same_stage_tcs,0.0
hk_person_02095896,hk_person_02212914,primary,10,10,pt,franchised_bus,same_stage_tcs,0.0
hk_person_02113906,hk_person_02050138,secondary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02114009,hk_person_02083524,primary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02120244,hk_person_02343516,kindergarten,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02128093,hk_person_02096045,primary,10,10,pt,franchised_bus,same_stage_tcs,0.0
hk_person_02129778,hk_person_02256840,kindergarten,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02134117,hk_person_02063268,kindergarten,10,10,pt,mtr,same_stage_tcs,0.0
hk_person_02138700,hk_person_02009205,secondary,10,10,pt,mtr,same_stage_tcs,0.0
hk_person_02153726,hk_person_02096044,secondary,10,10,pt,mtr,same_stage_tcs,0.0
hk_person_02157305,hk_person_02087799,kindergarten,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02163872,hk_person_02293728,primary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02181000,hk_person_02112224,secondary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02186719,hk_person_02312675,secondary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02188503,hk_person_02134419,secondary,10,10,walk,walk,same_stage_tcs,0.0
hk_person_02194881,hk_person_02343104,primary,10,10,walk,walk,same_stage_tcs,0.0
