person_id,person_index,household_id,household_index,member_sequence,relationship_role,age,age_band_census,sex,dcca,grid_id,tcs_zone,household_private_vehicle_count,potential_household_vehicle_access,is_designated_driver,assigned_vehicle_count,expansion_weight,dc_eng,income_band_tcs,housing_type,role,student_stage,destination_grid_id,destination_facility_id,mode_detail,matsim_mode,border_control_point,home_x,home_y,home_facility_id,outbound_time_s,return_time_s,assigned_vehicle_id,selection_stratum,selection_stratum_quota
hk_person_00496939,496939,hk_hh_0189699,189699,1,partner_or_other_adult,31,3,M,1306,1109,3,1,True,True,1,20.000024482134844,Eastern,3.0,private_permanent,fixed_worker,,781,work_poi_osm:missing:72737,private_car_passenger_van,ride,,213971.8755000513,2467001.8832483385,home_hk_hh_0189699,24970.683948889222,63583.361362990545,,3|M|3,2
hk_person_00605958,605958,hk_hh_0227680,227680,0,reference_person,58,4,F,1314,1148,3,1,True,True,1,20.000024482134844,Eastern,1.0,public_rental,fixed_worker,,775,work_poi_osm:missing:60571,private_car_passenger_van,ride,,215306.0129475767,2464761.0274036927,home_hk_hh_0227680,25503.066840963023,61140.356797450906,,3|F|4,1
hk_person_00902102,902102,hk_hh_0335082,335082,0,reference_person,57,4,M,1334,1189,3,1,True,True,1,20.000024482134844,Eastern,4.0,public_rental,fixed_worker,,978,work_poi_igeocom:526858,private_car_passenger_van,ride,,216418.0340165228,2464463.69171362,home_hk_hh_0335082,24308.561642079363,60204.97342657311,,3|M|4,2
hk_person_00904387,904387,hk_hh_0335917,335917,0,reference_person,28,3,F,1334,1189,3,1,True,True,1,20.000024482134844,Eastern,2.0,public_rental,fixed_worker,,1226,work_poi_igeocom:539400,private_car_passenger_van,ride,,216086.09926692815,2465116.1793970293,home_hk_hh_0335917,31191.459953804122,66261.81730118781,,3|F|3,1
hk_person_01106479,1106479,hk_hh_0406167,406167,0,reference_person,35,3,F,1414,776,4,1,True,True,1,20.000024482134844,Southern,4.0,public_rental,fixed_worker,,983,work_poi_igeocom:563354,private_car_passenger_van,ride,,207015.02782354894,2462698.2871081885,home_hk_hh_0406167,23986.646852568123,59503.63746990944,,4|F|3,2
hk_person_01108935,1108935,hk_hh_0407041,407041,0,reference_person,59,4,F,1414,776,4,1,True,True,1,20.000024482134844,Southern,2.0,public_rental,fixed_worker,,152,work_poi_osm:1182709475:1673,private_car_passenger_van,ride,,206850.0842395806,2463070.8100981032,home_hk_hh_0407041,34201.948992844395,63235.513033292096,,4|F|4,1
hk_person_01129276,1129276,hk_hh_0414314,414314,0,reference_person,35,3,F,1415,816,4,1,True,True,1,20.000024482134844,Southern,4.0,subsidised_home_ownership,fixed_worker,,786,work_poi_igeocom:546243,private_car_passenger_van,ride,,207788.52898996993,2462683.7669900167,home_hk_hh_0414314,28704.324867340907,63444.87550917352,,4|F|3,2
hk_person_01292303,1292303,hk_hh_0601829,601829,0,reference_person,41,3,M,2307,826,7,1,True,True,1,20.000024482134844,Sham Shui Po,1.0,private_permanent,fixed_worker,,950,work_poi_igeocom:541453,private_car_passenger_van,ride,,207618.3414598509,2471922.4931517537,home_hk_hh_0601829,23462.784046117915,51420.48713003413,,7|M|3,2
hk_person_01343694,1343694,hk_hh_0622457,622457,1,partner_or_other_adult,43,3,F,2310,786,7,1,True,True,1,20.000024482134844,Sham Shui Po,1.0,public_rental,fixed_worker,,826,work_poi_igeocom:538505,private_car_passenger_van,ride,,207027.5430625236,2472487.770917081,home_hk_hh_0622457,25461.72326622365,62961.53613586484,,7|F|3,2
hk_person_01400176,1400176,hk_hh_0644116,644116,3,other_member,50,4,M,2313,748,7,2,True,True,1,20.000024482134844,Sham Shui Po,5.0,private_permanent,fixed_worker,,1113,work_poi_igeocom:562600,private_car_passenger_van,ride,,206350.89985378913,2473054.7016743496,home_hk_hh_0644116,31383.70464711753,66559.93656193609,,7|M|4,1
hk_person_01422163,1422163,hk_hh_0651457,651457,4,other_member,42,3,M,2314,747,7,1,True,True,1,20.000024482134844,Sham Shui Po,4.0,public_rental,fixed_worker,,921,work_poi_osm:6309804641:27739,private_car_passenger_van,ride,,206340.41645930975,2472500.7581960084,home_hk_hh_0651457,30600.86148223228,63320.839020142485,,7|M|3,2
hk_person_01498150,1498150,hk_hh_0679195,679195,0,reference_person,51,4,F,2319,787,7,1,True,True,1,20.000024482134844,Sham Shui Po,4.0,private_permanent,fixed_worker,,906,work_poi_osm:6008822611:27060,private_car_passenger_van,ride,,206953.8581238917,2473135.6577329584,home_hk_hh_0679195,29297.29304596698,59365.15222003611,,7|F|4,1
hk_person_01585990,1585990,hk_hh_0712080,712080,0,reference_person,37,3,F,2325,867,7,1,True,True,1,20.000024482134844,Sham Shui Po,1.0,public_rental,fixed_worker,,1151,work_poi_igeocom:559504,private_car_passenger_van,ride,,208738.41684843198,2472086.1460293354,home_hk_hh_0712080,28357.10603060281,64486.099842590585,,7|F|3,2
hk_person_01613463,1613463,hk_hh_0722320,722320,3,other_member,55,4,M,2401,947,8,3,True,True,1,20.000024482134844,Kowloon City,5.0,private_permanent,fixed_worker,,787,work_poi_igeocom:21229845,private_car_passenger_van,ride,,210347.96313587198,2470855.427686945,home_hk_hh_0722320,31870.25333312503,70230.76695366923,,8|M|4,3
hk_person_01640560,1640560,hk_hh_0732921,732921,2,other_member,64,4,M,2403,947,8,2,True,True,1,20.000024482134844,Kowloon City,5.0,private_permanent,fixed_worker,,1108,work_poi_igeocom:558881,private_car_passenger_van,ride,,210176.1677812934,2470858.632858381,home_hk_hh_0732921,30981.5931409524,58968.88006881937,,8|M|4,3
hk_person_01717079,1717079,hk_hh_0760753,760753,1,partner_or_other_adult,56,4,M,2407,906,8,5,True,True,1,20.000024482134844,Kowloon City,5.0,private_permanent,fixed_worker,,903,work_poi_osm:2441267007:6825,private_car_passenger_van,ride,,209231.29018579633,2470876.295366779,home_hk_hh_0760753,30765.665607676583,70173.5995025052,,8|M|4,3
hk_person_01798674,1798674,hk_hh_0787890,787890,0,reference_person,40,3,M,2412,990,8,1,True,True,1,20.000024482134844,Kowloon City,4.0,public_rental,fixed_worker,,1034,work_poi_osm:12299975257:44201,private_car_passenger_van,ride,,211571.10714997712,2471940.89588384,home_hk_hh_0787890,26280.204583371684,57101.40556292664,,8|M|3,1
hk_person_01826990,1826990,hk_hh_0799673,799673,0,reference_person,45,4,F,2414,990,8,1,True,True,1,20.000024482134844,Kowloon City,3.0,public_rental,fixed_worker,,1191,work_grid_1191,private_car_passenger_van,ride,,211751.4618771685,2472399.3092657896,home_hk_hh_0799673,26820.71424668777,65536.10604902907,,8|F|4,1
hk_person_01903053,1903053,hk_hh_0828154,828154,0,reference_person,25,3,F,2420,945,8,3,True,True,1,20.000024482134844,Kowloon City,5.0,private_permanent,fixed_worker,,980,work_poi_igeocom:542965,private_car_passenger_van,ride,,210495.6717058728,2469559.724943537,home_hk_hh_0828154,29334.676517931763,54573.90844509246,,8|F|3,2
hk_person_01911805,1911805,hk_hh_0831152,831152,2,other_member,35,3,F,2420,945,8,2,True,True,1,20.000024482134844,Kowloon City,5.0,private_permanent,fixed_worker,,1066,work_poi_igeocom:554824,private_car_passenger_van,ride,,210490.5118479227,2469282.7609532275,home_hk_hh_0831152,24506.203978489164,64068.64805224929,,8|F|3,2
hk_person_02115138,2115138,hk_hh_0907629,907629,0,reference_person,40,3,M,2508,948,10,1,True,True,1,20.000024482134844,Wong Tai Sin,3.0,private_permanent,fixed_worker,,824,work_poi_igeocom:21274187,private_car_passenger_van,ride,,210724.24197824852,2472603.129959979,home_hk_hh_0907629,32167.89454048498,62116.45593824485,,10|M|3,1
hk_person_02274385,2274385,hk_hh_0966258,966258,0,reference_person,59,4,M,2518,1035,10,1,True,True,1,20.000024482134844,Wong Tai Sin,4.0,public_rental,fixed_worker,,1182,work_poi_osm:2734094866:8815,private_car_passenger_van,ride,,211954.095424451,2474057.895422239,home_hk_hh_0966258,24784.293124457043,66475.61363405266,,10|M|4,1
hk_person_02274530,2274530,hk_hh_0966312,966312,0,reference_person,64,4,F,2518,992,10,1,True,True,1,20.000024482134844,Wong Tai Sin,1.0,public_rental,fixed_worker,,1200,work_poi_igeocom:533883,private_car_passenger_van,ride,,211437.1032831262,2473975.153845511,home_hk_hh_0966312,22627.315787905885,55701.53457632701,,10|F|4,2
hk_person_02387545,2387545,hk_hh_1005594,1005594,1,partner_or_other_adult,50,4,F,2525,1034,10,1,True,True,1,20.000024482134844,Wong Tai Sin,4.0,public_rental,fixed_worker,,1209,work_poi_osm:missing:59066,private_car_passenger_van,ride,,212629.15167697013,2473398.9054834386,home_hk_hh_1005594,30449.987231421677,62712.162617712616,,10|F|4,2
hk_person_02396707,2396707,hk_hh_1009125,1009125,0,reference_person,35,3,F,2525,1034,10,1,True,True,1,20.000024482134844,Wong Tai Sin,1.0,public_rental,fixed_worker,,1191,work_grid_1191,private_car_passenger_van,ride,,212709.90468954615,2473120.353313663,home_hk_hh_1009125,31452.49665106985,70872.49978914254,,10|F|3,1
hk_person_02418364,2418364,hk_hh_1017605,1017605,0,reference_person,37,3,M,2602,1032,9,2,True,True,1,20.000024482134844,Kwun Tong,5.0,private_permanent,fixed_worker,,1109,work_poi_osm:missing:52749,private_car_passenger_van,ride,,212768.45043496066,2471641.637653467,home_hk_hh_1017605,27437.130886447478,57710.07592804576,,9|M|3,3
hk_person_02431325,2431325,hk_hh_1022450,1022450,0,reference_person,63,4,M,2603,1033,9,1,True,True,1,20.000024482134844,Kwun Tong,3.0,public_rental,fixed_worker,,988,work_poi_osm:12873347048:45900,private_car_passenger_van,ride,,212524.4541336021,2472384.971004032,home_hk_hh_1022450,28420.03808094112,55351.58838650903,,9|M|4,3
hk_person_02488639,2488639,hk_hh_1045702,1045702,1,partner_or_other_adult,46,4,M,2606,1075,9,1,True,True,1,20.000024482134844,Kwun Tong,1.0,public_rental,fixed_worker,,906,work_poi_osm:missing:66930,private_car_passenger_van,ride,,213204.73165936169,2472002.9779163995,home_hk_hh_1045702,27864.900126526176,61541.13976267135,,9|M|4,3
hk_person_02540531,2540531,hk_hh_1064972,1064972,0,reference_person,35,3,M,2609,1115,9,1,True,True,1,20.000024482134844,Kwun Tong,1.0,public_rental,fixed_worker,,1074,work_poi_osm:missing:69228,private_car_passenger_van,ride,,214238.8023855561,2472168.607339407,home_hk_hh_1064972,29517.555864330832,60835.06394046885,,9|M|3,3
hk_person_02544164,2544164,hk_hh_1066118,1066118,1,partner_or_other_adult,35,3,F,2609,1115,9,1,True,True,1,20.000024482134844,Kwun Tong,2.0,private_permanent,fixed_worker,,947,work_poi_igeocom:543198,private_car_passenger_van,ride,,214573.86605232686,2471700.6890213555,home_hk_hh_1066118,29348.11160792524,60964.2384594336,,9|F|3,4
hk_person_02582965,2582965,hk_hh_1079856,1079856,0,reference_person,50,4,F,2611,1115,9,1,True,True,1,20.000024482134844,Kwun Tong,4.0,public_rental,fixed_worker,,782,work_poi_osm:missing:65803,private_car_passenger_van,ride,,214065.32554125978,2472079.4514079327,home_hk_hh_1079856,26433.216740627842,61757.50167379347,,9|F|4,4
hk_person_02663262,2663262,hk_hh_1108576,1108576,0,reference_person,53,4,M,2616,1154,9,1,True,True,1,20.000024482134844,Kwun Tong,5.0,public_rental,fixed_worker,,672,work_poi_igeocom:21141765,private_car_passenger_van,ride,,215326.5680788142,2470578.6690353663,home_hk_hh_1108576,22314.178141435055,63269.53387684339,,9|M|4,3
hk_person_02726496,2726496,hk_hh_1131614,1131614,2,other_member,43,3,F,2619,1153,9,1,True,True,1,20.000024482134844,Kwun Tong,1.0,public_rental,fixed_worker,,277,work_poi_igeocom:21061766,private_car_passenger_van,ride,,215483.14294318052,2469744.6530843317,home_hk_hh_1131614,32026.31581647164,60770.298869812825,,9|F|3,4
hk_person_02851890,2851890,hk_hh_1175927,1175927,1,partner_or_other_adult,31,3,F,2627,1112,9,2,True,True,1,20.000024482134844,Kwun Tong,5.0,private_permanent,fixed_worker,,1030,work_poi_osm:10177771906:37090,private_car_passenger_van,ride,,214101.93253873242,2469400.604776716,home_hk_hh_1175927,27044.81019246502,58441.28713369645,,9|F|3,4
hk_person_02860922,2860922,hk_hh_1178959,1178959,0,reference_person,25,3,M,2627,1112,9,2,True,True,1,20.000024482134844,Kwun Tong,5.0,private_permanent,fixed_worker,,1030,work_poi_osm:10177771906:37090,private_car_passenger_van,ride,,214273.7392343611,2469397.444831988,home_hk_hh_1178959,29491.54155126392,61637.2746402919,,9|M|3,3
hk_person_02893022,2893022,hk_hh_1189952,1189952,1,partner_or_other_adult,49,4,F,2629,1154,9,1,True,True,1,20.000024482134844,Kwun Tong,2.0,public_rental,fixed_worker,,707,work_poi_osm:3937121774:13719,private_car_passenger_van,ride,,215402.31570206897,2470023.1824558824,home_hk_hh_1189952,29331.907622611205,68005.50674115116,,9|F|4,4
hk_person_02901909,2901909,hk_hh_1193350,1193350,0,reference_person,65,5,F,2630,1114,9,1,True,True,1,20.000024482134844,Kwun Tong,3.0,subsidised_home_ownership,fixed_worker,,904,work_poi_igeocom:546648,private_car_passenger_van,ride,,213787.2364749444,2470976.363779458,home_hk_hh_1193350,28434.517595200166,60255.98794693418,,9|F|5,1
hk_person_02902539,2902539,hk_hh_1193568,1193568,0,reference_person,53,4,F,2630,1154,9,1,True,True,1,20.000024482134844,Kwun Tong,2.0,subsidised_home_ownership,fixed_worker,,1189,work_poi_igeocom:537750,private_car_passenger_van,ride,,215067.18587751227,2470491.0753934877,home_hk_hh_1193568,26125.127353623047,53961.78640922661,,9|F|4,4
hk_person_03024582,3024582,hk_hh_1240860,1240860,0,reference_person,59,4,F,2638,1074,9,1,True,True,1,20.000024482134844,Kwun Tong,5.0,public_rental,fixed_worker,,909,work_poi_osm:5777613392:26360,private_car_passenger_van,ride,,213278.6855437521,2471355.151104838,home_hk_hh_1240860,30705.774429028766,53968.67939358676,,9|F|4,4
hk_person_03040377,3040377,hk_hh_1247282,1247282,0,reference_person,29,3,F,2639,1074,9,1,True,True,1,20.000024482134844,Kwun Tong,2.0,public_rental,fixed_worker,,672,work_poi_igeocom:21096272,private_car_passenger_van,ride,,213282.09542032104,2471539.791084193,home_hk_hh_1247282,24980.044500234188,58387.583188722965,,9|F|3,4
hk_person_03067832,3067832,hk_hh_0427864,427864,0,reference_person,35,3,M,2701,863,5,2,True,True,1,20.000024482134844,Yau Tsim Mong,5.0,private_permanent,fixed_worker,,947,work_poi_igeocom:537008,private_car_passenger_van,ride,,208493.8813504689,2468211.826664647,home_hk_hh_0427864,30856.114353993704,63988.54369644335,,5|M|3,1
hk_person_03103266,3103266,hk_hh_0441086,441086,0,reference_person,47,4,M,2703,824,5,1,True,True,1,20.000024482134844,Yau Tsim Mong,1.0,private_permanent,fixed_worker,,673,work_poi_igeocom:546581,private_car_passenger_van,ride,,208018.29758987256,2470344.921536188,home_hk_hh_0441086,30252.518250056484,61304.779646318166,,5|M|4,1
hk_person_03203605,3203605,hk_hh_0479477,479477,0,reference_person,47,4,M,2709,825,6,1,True,True,1,20.000024482134844,Yau Tsim Mong,3.0,private_permanent,fixed_worker,,393,work_grid_393,private_car_passenger_van,ride,,208128.4936600626,2471635.8259420255,home_hk_hh_0479477,30754.080321187095,59105.92933185983,,6|M|4,1
hk_person_03228679,3228679,hk_hh_0489980,489980,3,other_member,44,3,F,2711,825,6,2,True,True,1,20.000024482134844,Yau Tsim Mong,5.0,private_permanent,fixed_worker,,744,work_poi_igeocom:554418,private_car_passenger_van,ride,,208040.8627431033,2471545.118188393,home_hk_hh_0489980,24341.278772466885,55177.34471575175,,6|F|3,1
hk_person_03303253,3303253,hk_hh_0522269,522269,0,reference_person,29,3,M,2715,865,6,1,True,True,1,20.000024482134844,Yau Tsim Mong,5.0,private_permanent,fixed_worker,,225,work_poi_igeocom:21208699,private_car_passenger_van,ride,,208708.97403694008,2470516.6640763143,home_hk_hh_0522269,31880.358678840243,63069.974349547476,,6|M|3,1
hk_person_03463655,3463655,hk_hh_1292828,1292828,1,partner_or_other_adult,49,4,F,3107,682,12,1,True,True,1,20.000024482134844,Kwai Tsing,4.0,public_rental,fixed_worker,,1167,work_poi_osm:5397532201:25274,private_car_passenger_van,ride,,204356.49115606007,2476602.2119158297,home_hk_hh_1292828,26874.55656732169,61929.75178183231,,12|F|4,3
hk_person_03507256,3507256,hk_hh_1308785,1308785,0,reference_person,50,4,M,3109,716,12,1,True,True,1,20.000024482134844,Kwai Tsing,1.0,private_permanent,fixed_worker,,786,work_poi_osm:missing:69386,private_car_passenger_van,ride,,204694.68899674405,2476318.684763658,home_hk_hh_1308785,23456.420344254722,52028.615544196626,,12|M|4,2
hk_person_03551765,3551765,hk_hh_1324932,1324932,1,partner_or_other_adult,48,4,M,3112,751,12,1,True,True,1,20.000024482134844,Kwai Tsing,2.0,public_rental,fixed_worker,,823,work_poi_igeocom:541526,private_car_passenger_van,ride,,205460.50457829627,2475934.673894535,home_hk_hh_1324932,33211.72125896982,69822.51004117136,,12|M|4,2
hk_person_03580223,3580223,hk_hh_1335098,1335098,1,partner_or_other_adult,49,4,F,3114,715,12,1,True,True,1,20.000024482134844,Kwai Tsing,2.0,public_rental,fixed_worker,,742,work_poi_osm:12845348602:45743,private_car_passenger_van,ride,,205118.77120828372,2476033.5319348336,home_hk_hh_1335098,31845.514660542463,67439.63347655181,,12|F|4,3
hk_person_03613414,3613414,hk_hh_1347263,1347263,2,other_member,25,3,M,3116,715,12,1,True,True,1,20.000024482134844,Kwai Tsing,3.0,public_rental,fixed_worker,,1081,work_poi_osm:missing:55075,private_car_passenger_van,ride,,205202.8868168894,2475939.5730504724,home_hk_hh_1347263,29126.750115767732,63062.979006160494,,12|M|3,2
hk_person_03630966,3630966,hk_hh_1353351,1353351,0,reference_person,34,3,F,3117,713,12,1,True,True,1,20.000024482134844,Kwai Tsing,2.0,subsidised_home_ownership,fixed_worker,,712,work_poi_osm:missing:52489,private_car_passenger_van,ride,,205071.3522276419,2473540.7627325077,home_hk_hh_1353351,32365.75420685583,68427.80582373301,,12|F|3,1
hk_person_03664413,3664413,hk_hh_1365538,1365538,1,partner_or_other_adult,60,4,F,3120,649,12,1,True,True,1,20.000024482134844,Kwai Tsing,4.0,public_rental,fixed_worker,,1076,work_poi_osm:2206655638:5732,private_car_passenger_van,ride,,202975.492564724,2476259.1906077755,home_hk_hh_1365538,30963.776145458844,64205.02994193232,,12|F|4,3
hk_person_03667072,3667072,hk_hh_1366491,1366491,1,partner_or_other_adult,44,3,M,3120,649,12,1,True,True,1,20.000024482134844,Kwai Tsing,4.0,public_rental,fixed_worker,,992,work_poi_igeocom:543528,private_car_passenger_van,ride,,203147.23703362333,2476255.898917195,home_hk_hh_1366491,27467.644801079954,57751.73952352312,,12|M|3,2
hk_person_03712920,3712920,hk_hh_1382237,1382237,0,reference_person,67,5,F,3122,617,13,2,True,True,1,20.000024482134844,Kwai Tsing,5.0,private_permanent,fixed_worker,,1107,work_poi_osm:missing:58697,private_car_passenger_van,ride,,202258.36125645082,2474702.827203226,home_hk_hh_1382237,28115.079205437116,60763.966396929856,,13|F|5,1
hk_person_03768265,3768265,hk_hh_1402355,1402355,2,other_member,37,3,F,3125,616,13,1,True,True,1,20.000024482134844,Kwai Tsing,4.0,public_rental,fixed_worker,,1104,work_poi_igeocom:559962,private_car_passenger_van,ride,,201995.39335987653,2474430.797797012,home_hk_hh_1402355,27099.787519946673,62241.548086616924,,13|F|3,1
hk_person_03910680,3910680,hk_hh_1454497,1454497,0,reference_person,37,3,F,3204,618,11,1,True,True,1,20.000024482134844,Tsuen Wan,1.0,private_permanent,fixed_worker,,111,work_poi_igeocom:21276521,private_car_passenger_van,ride,,202106.1175348836,2475721.7183242883,home_hk_hh_1454497,31453.389010513347,70590.13832146114,,11|F|3,1
hk_person_03977257,3977257,hk_hh_1478046,1478046,0,reference_person,62,4,F,3207,620,11,1,True,True,1,20.000024482134844,Tsuen Wan,4.0,private_permanent,fixed_worker,,574,work_poi_igeocom:21063714,private_car_passenger_van,ride,,202479.7663429611,2477284.6678586025,home_hk_hh_1478046,29988.14263646914,56406.38720607686,,11|F|4,3
hk_person_03986321,3986321,hk_hh_1481576,1481576,2,other_member,50,4,F,3208,650,11,1,True,True,1,20.000024482134844,Tsuen Wan,4.0,private_permanent,fixed_worker,,864,work_poi_igeocom:538885,private_car_passenger_van,ride,,203243.72141252493,2476808.209645795,home_hk_hh_1481576,28439.69961119843,63874.754222544965,,11|F|4,3
hk_person_04087200,4087200,hk_hh_1517922,1517922,0,reference_person,58,4,M,3214,593,11,1,True,True,1,20.000024482134844,Tsuen Wan,2.0,private_permanent,fixed_worker,,752,work_poi_osm:missing:59334,private_car_passenger_van,ride,,201352.8109391441,2476752.1920969286,home_hk_hh_1517922,23203.553938826677,57887.40856431732,,11|M|4,1
hk_person_04131592,4131592,hk_hh_1533435,1533435,2,other_member,38,3,M,3217,717,11,1,True,True,1,20.000024482134844,Tsuen Wan,2.0,public_rental,fixed_worker,,1155,work_poi_igeocom:21272198,private_car_passenger_van,ride,,205062.7874024181,2477604.6912955446,home_hk_hh_1533435,27691.081837490896,61556.36226954569,,11|M|3,1
hk_person_04140295,4140295,hk_hh_1536886,1536886,2,other_member,59,4,F,3218,717,11,1,True,True,1,20.000024482134844,Tsuen Wan,2.0,public_rental,fixed_worker,,574,work_poi_igeocom:552696,private_car_passenger_van,ride,,204892.82003394916,2477700.2885737903,home_hk_hh_1536886,31467.545042068647,62885.70422967811,,11|F|4,3
hk_person_04199926,4199926,hk_hh_1558851,1558851,0,reference_person,48,4,F,3302,248,14,1,True,True,1,20.000024482134844,Tuen Mun,1.0,private_permanent,fixed_worker,,912,work_poi_igeocom:21197969,private_car_passenger_van,ride,,188594.73274186713,2478850.8730886355,home_hk_hh_1558851,27942.77791175575,60336.38265646637,,14|F|4,3
hk_person_04262755,4262755,hk_hh_1582401,1582401,1,partner_or_other_adult,57,4,F,3306,248,14,2,True,True,1,20.000024482134844,Tuen Mun,5.0,private_permanent,fixed_worker,,778,work_poi_osm:missing:67383,private_car_passenger_van,ride,,188417.42168103944,2478577.3256095103,home_hk_hh_1582401,23773.51127655108,54047.32165903058,,14|F|4,3
hk_person_04294504,4294504,hk_hh_1593946,1593946,0,reference_person,34,3,M,3308,227,14,1,True,True,1,20.000024482134844,Tuen Mun,1.0,public_rental,fixed_worker,,913,work_poi_igeocom:21167577,private_car_passenger_van,ride,,187767.74056485918,2480437.8727241107,home_hk_hh_1593946,27103.326113714902,61395.14722968509,,14|M|3,2
hk_person_04311989,4311989,hk_hh_1601053,1601053,0,reference_person,60,4,M,3309,227,14,1,True,True,1,20.000024482134844,Tuen Mun,4.0,public_rental,fixed_worker,,700,work_poi_igeocom:558873,private_car_passenger_van,ride,,187586.6973225774,2479979.664081052,home_hk_hh_1601053,26137.41898335657,56325.33077019398,,14|M|4,1
hk_person_04327360,4327360,hk_hh_1607875,1607875,1,partner_or_other_adult,45,4,F,3310,250,14,1,True,True,1,20.000024482134844,Tuen Mun,2.0,public_rental,fixed_worker,,906,work_poi_igeocom:541109,private_car_passenger_van,ride,,188019.72938728897,2480155.6693686736,home_hk_hh_1607875,30166.62859625374,67434.87479167416,,14|F|4,3
hk_person_04421370,4421370,hk_hh_1642646,1642646,0,reference_person,44,3,M,3316,223,14,1,True,True,1,20.000024482134844,Tuen Mun,3.0,subsidised_home_ownership,fixed_worker,,250,work_poi_osm:missing:53986,private_car_passenger_van,ride,,187874.2875228325,2477202.6819905583,home_hk_hh_1642646,33347.678670983616,67092.4590971258,,14|M|3,2
hk_person_04437192,4437192,hk_hh_1648071,1648071,0,reference_person,44,3,F,3317,224,14,1,True,True,1,20.000024482134844,Tuen Mun,4.0,public_rental,fixed_worker,,1311,work_poi_igeocom:550551,private_car_passenger_van,ride,,187706.25775058032,2477390.8143437086,home_hk_hh_1648071,28103.099325741667,59644.0950932265,,14|F|3,3
