person_id,household_id,role,allocation_source,student_stage,age,sex,relationship_role,household_private_vehicle_count,car_passenger_leg_count,compatible_leg_count,direct_leg_count,common_direct_driver_count,common_detour_screen_driver_count,candidate_tour_status,candidate_same_driver_person_id
hk_person_00147444,hk_hh_0052911,day_school_student,student_swap_car_household_donor,secondary,17,F,child,1,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00147447,hk_hh_0052911,day_school_student,student_original_private_vehicle_retained,primary,6,M,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00147443
hk_person_00147912,hk_hh_0053100,day_school_student,student_original_private_vehicle_retained,primary,8,F,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00148093,hk_hh_0053160,day_school_student,student_swap_car_household_donor,primary,10,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00148138,hk_hh_0053180,day_school_student,student_swap_car_household_donor,primary,8,M,child,1,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00148411,hk_hh_0053289,fixed_worker,adult_retained_private_car_passenger_van,,49,M,reference_person,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00152270,hk_hh_0054835,day_school_student,student_original_private_vehicle_retained,primary,6,F,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00152269
hk_person_00155582,hk_hh_0056188,day_school_student,student_swap_car_household_donor,primary,11,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00157278,hk_hh_0056864,day_school_student,student_swap_car_household_donor,kindergarten,4,F,child,1,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00164265,hk_hh_0059699,day_school_student,student_swap_car_household_donor,special,19,F,reference_person,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00170782,hk_hh_0062517,fixed_worker,adult_retained_private_car_passenger_van,,34,F,partner_or_other_adult,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00187154,hk_hh_0069596,day_school_student,student_swap_car_household_donor,secondary,14,F,child,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00188618,hk_hh_0070232,day_school_student,student_original_private_vehicle_retained,kindergarten,3,F,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00188617
hk_person_00227067,hk_hh_0087201,day_school_student,student_swap_car_household_donor,secondary,15,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00230729,hk_hh_0088747,fixed_worker,adult_retained_private_car_passenger_van,,21,F,reference_person,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00231749,hk_hh_0089178,day_school_student,student_original_private_vehicle_retained,kindergarten,4,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00240380,hk_hh_0093068,day_school_student,student_swap_car_household_donor,primary,6,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00242066,hk_hh_0093819,day_school_student,student_original_private_vehicle_retained,secondary,15,M,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00242064
hk_person_00243293,hk_hh_0094323,day_school_student,student_swap_car_household_donor,secondary,15,M,child,2,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00245704,hk_hh_0095316,day_school_student,student_swap_car_household_donor,primary,6,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00245931,hk_hh_0095409,day_school_student,student_swap_car_household_donor,kindergarten,5,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00246269,hk_hh_0095543,day_school_student,student_swap_car_household_donor,primary,9,F,child,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00258497,hk_hh_0100779,day_school_student,student_swap_car_household_donor,primary,10,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00268130,hk_hh_0104880,day_school_student,student_original_private_vehicle_retained,kindergarten,5,M,child,1,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00268522,hk_hh_0105024,day_school_student,student_swap_car_household_donor,kindergarten,3,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00268950,hk_hh_0105190,day_school_student,student_original_private_vehicle_retained,primary,8,M,child,2,2,2,2,1,1,complete_direct_same_driver,hk_person_00268949
hk_person_00288692,hk_hh_0112945,day_school_student,student_original_private_vehicle_retained,primary,6,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00294910,hk_hh_0115248,day_school_student,student_swap_car_household_donor,secondary,17,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00307189,hk_hh_0119657,day_school_student,student_swap_car_household_donor,primary,9,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00307255,hk_hh_0119685,day_school_student,student_original_private_vehicle_retained,primary,7,F,child,3,2,2,2,1,1,complete_direct_same_driver,hk_person_00307253
hk_person_00314235,hk_hh_0122524,day_school_student,student_swap_car_household_donor,kindergarten,4,M,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00326770,hk_hh_0126579,day_school_student,student_swap_car_household_donor,secondary,15,F,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00327633,hk_hh_0126813,fixed_worker,adult_retained_private_car_passenger_van,,37,M,reference_person,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00332931,hk_hh_0128293,day_school_student,student_swap_car_household_donor,kindergarten,4,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00333167,hk_hh_0128374,day_school_student,student_swap_car_household_donor,kindergarten,3,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00337252,hk_hh_0129631,day_school_student,student_swap_car_household_donor,primary,6,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00341106,hk_hh_0130761,day_school_student,student_swap_car_household_donor,kindergarten,3,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00345970,hk_hh_0132370,day_school_student,student_original_private_vehicle_retained,kindergarten,3,F,child,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00356431,hk_hh_0136719,fixed_worker,adult_retained_private_car_passenger_van,,56,F,reference_person,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00366395,hk_hh_0139806,day_school_student,student_original_private_vehicle_retained,primary,11,F,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00366392
hk_person_00369900,hk_hh_0140805,fixed_worker,adult_retained_private_car_passenger_van,,30,F,other_member,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00372860,hk_hh_0141746,day_school_student,student_original_private_vehicle_retained,primary,9,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00385715,hk_hh_0147107,day_school_student,student_swap_car_household_donor,kindergarten,3,F,child,3,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00394146,hk_hh_0151229,day_school_student,student_swap_car_household_donor,primary,9,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00396378,hk_hh_0152227,day_school_student,student_swap_car_household_donor,secondary,13,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00401313,hk_hh_0153815,day_school_student,student_swap_car_household_donor,primary,10,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00404472,hk_hh_0154844,fixed_worker,adult_retained_private_car_passenger_van,,62,M,partner_or_other_adult,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00411818,hk_hh_0157288,day_school_student,student_swap_car_household_donor,kindergarten,4,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00413279,hk_hh_0157800,day_school_student,student_swap_car_household_donor,kindergarten,4,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00419021,hk_hh_0159770,day_school_student,student_swap_car_household_donor,primary,6,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00420600,hk_hh_0160317,day_school_student,student_swap_car_household_donor,kindergarten,5,F,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00420603,hk_hh_0160317,day_school_student,student_swap_car_household_donor,primary,8,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00421745,hk_hh_0160701,day_school_student,student_swap_car_household_donor,primary,10,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00423374,hk_hh_0161262,day_school_student,student_swap_car_household_donor,secondary,15,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00426676,hk_hh_0162399,day_school_student,student_swap_car_household_donor,secondary,14,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00432322,hk_hh_0164456,day_school_student,student_swap_car_household_donor,secondary,14,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00432553,hk_hh_0164553,day_school_student,student_swap_car_household_donor,primary,8,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00432867,hk_hh_0164680,day_school_student,student_swap_car_household_donor,secondary,15,F,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00446659,hk_hh_0170154,day_school_student,student_original_private_vehicle_retained,kindergarten,4,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00447891,hk_hh_0170637,day_school_student,student_swap_car_household_donor,secondary,14,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00451136,hk_hh_0171927,day_school_student,student_swap_car_household_donor,primary,11,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00464176,hk_hh_0177147,day_school_student,student_swap_car_household_donor,primary,6,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00470286,hk_hh_0179538,day_school_student,student_original_private_vehicle_retained,primary,8,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00472110,hk_hh_0180221,fixed_worker,adult_retained_private_car_passenger_van,,42,M,partner_or_other_adult,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00479501,hk_hh_0182992,day_school_student,student_swap_car_household_donor,primary,8,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00496939,hk_hh_0189699,fixed_worker,adult_retained_private_car_passenger_van,,31,M,partner_or_other_adult,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00497611,hk_hh_0189975,day_school_student,student_swap_car_household_donor,primary,8,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00500253,hk_hh_0191039,day_school_student,student_original_private_vehicle_retained,primary,7,F,child,2,2,2,2,1,1,complete_direct_same_driver,hk_person_00500252
hk_person_00501043,hk_hh_0191306,day_school_student,student_swap_car_household_donor,primary,11,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00509787,hk_hh_0194450,day_school_student,student_swap_car_household_donor,secondary,12,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00522246,hk_hh_0198822,day_school_student,student_swap_car_household_donor,primary,8,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00525156,hk_hh_0199835,day_school_student,student_swap_car_household_donor,kindergarten,4,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00533877,hk_hh_0202844,day_school_student,student_swap_car_household_donor,secondary,15,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00535845,hk_hh_0203508,day_school_student,student_swap_car_household_donor,secondary,14,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00541956,hk_hh_0205707,day_school_student,student_swap_car_household_donor,primary,7,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00548989,hk_hh_0208178,day_school_student,student_swap_car_household_donor,primary,11,M,child,2,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00549549,hk_hh_0208357,day_school_student,student_swap_car_household_donor,primary,7,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00553108,hk_hh_0209541,day_school_student,student_swap_car_household_donor,kindergarten,5,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00553696,hk_hh_0209728,day_school_student,student_original_private_vehicle_retained,primary,10,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00558727,hk_hh_0211406,day_school_student,student_swap_car_household_donor,secondary,15,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00560367,hk_hh_0211956,day_school_student,student_original_private_vehicle_retained,secondary,13,F,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00560366
hk_person_00585676,hk_hh_0220253,day_school_student,student_swap_car_household_donor,primary,6,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00591136,hk_hh_0222064,day_school_student,student_swap_car_household_donor,secondary,16,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00595061,hk_hh_0223539,day_school_student,student_original_private_vehicle_retained,primary,11,M,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00595062
hk_person_00605500,hk_hh_0227492,day_school_student,student_original_private_vehicle_retained,secondary,16,F,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00605497
hk_person_00605958,hk_hh_0227680,fixed_worker,adult_retained_private_car_passenger_van,,58,F,reference_person,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00617596,hk_hh_0232317,day_school_student,student_swap_car_household_donor,secondary,15,F,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00619546,hk_hh_0233107,day_school_student,student_swap_car_household_donor,primary,9,F,child,1,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00630136,hk_hh_0237185,day_school_student,student_swap_car_household_donor,secondary,12,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00632160,hk_hh_0237898,day_school_student,student_swap_car_household_donor,secondary,15,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00632381,hk_hh_0237960,day_school_student,student_original_private_vehicle_retained,kindergarten,3,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00632541,hk_hh_0238009,day_school_student,student_swap_car_household_donor,kindergarten,3,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00634940,hk_hh_0238683,day_school_student,student_swap_car_household_donor,secondary,14,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00635454,hk_hh_0238829,day_school_student,student_original_private_vehicle_retained,kindergarten,4,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00637073,hk_hh_0239294,day_school_student,student_swap_car_household_donor,primary,6,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00655216,hk_hh_0244869,day_school_student,student_swap_car_household_donor,kindergarten,3,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00663165,hk_hh_0247505,day_school_student,student_original_private_vehicle_retained,special,14,M,child,2,2,2,2,1,1,complete_direct_same_driver,hk_person_00663164
hk_person_00678226,hk_hh_0252709,day_school_student,student_swap_car_household_donor,secondary,13,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00678458,hk_hh_0252806,day_school_student,student_swap_car_household_donor,secondary,14,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00678596,hk_hh_0252859,day_school_student,student_original_private_vehicle_retained,primary,7,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00679028,hk_hh_0253026,day_school_student,student_original_private_vehicle_retained,secondary,12,F,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00679027
hk_person_00696143,hk_hh_0259610,day_school_student,student_swap_car_household_donor,secondary,16,F,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00696144,hk_hh_0259610,day_school_student,student_swap_car_household_donor,primary,11,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00708512,hk_hh_0264509,day_school_student,student_swap_car_household_donor,primary,10,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00710613,hk_hh_0265303,day_school_student,student_swap_car_household_donor,primary,10,M,child,1,2,1,1,0,0,partial_compatible_existing_legs,
hk_person_00711061,hk_hh_0265470,day_school_student,student_swap_car_household_donor,secondary,15,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00711062,hk_hh_0265470,day_school_student,student_original_private_vehicle_retained,primary,6,F,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00711060
hk_person_00718131,hk_hh_0268098,day_school_student,student_swap_car_household_donor,primary,9,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00736910,hk_hh_0275008,day_school_student,student_original_private_vehicle_retained,kindergarten,5,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00757132,hk_hh_0282740,day_school_student,student_swap_car_household_donor,primary,7,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00767756,hk_hh_0287116,day_school_student,student_swap_car_household_donor,primary,7,M,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00767944,hk_hh_0287182,day_school_student,student_original_private_vehicle_retained,kindergarten,3,M,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00767941
hk_person_00785469,hk_hh_0293546,day_school_student,student_swap_car_household_donor,secondary,12,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00794900,hk_hh_0296809,day_school_student,student_original_private_vehicle_retained,primary,10,M,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00794897
hk_person_00795124,hk_hh_0296888,day_school_student,student_swap_car_household_donor,secondary,17,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00797713,hk_hh_0297836,day_school_student,student_swap_car_household_donor,kindergarten,4,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00812940,hk_hh_0303380,day_school_student,student_swap_car_household_donor,secondary,17,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00813774,hk_hh_0303669,day_school_student,student_swap_car_household_donor,secondary,17,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00825046,hk_hh_0307685,day_school_student,student_swap_car_household_donor,secondary,13,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00825060,hk_hh_0307690,day_school_student,student_original_private_vehicle_retained,secondary,12,M,child,2,2,2,2,1,1,complete_direct_same_driver,hk_person_00825056
hk_person_00842994,hk_hh_0314437,day_school_student,student_swap_car_household_donor,secondary,14,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00849643,hk_hh_0316647,day_school_student,student_swap_car_household_donor,primary,7,F,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00856941,hk_hh_0319070,day_school_student,student_swap_car_household_donor,secondary,15,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00866651,hk_hh_0322299,day_school_student,student_swap_car_household_donor,secondary,13,M,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00871250,hk_hh_0323876,day_school_student,student_swap_car_household_donor,primary,11,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00878392,hk_hh_0326356,day_school_student,student_original_private_vehicle_retained,secondary,17,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00878545,hk_hh_0326414,day_school_student,student_swap_car_household_donor,primary,11,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00883653,hk_hh_0328265,day_school_student,student_swap_car_household_donor,kindergarten,5,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00885455,hk_hh_0328931,day_school_student,student_original_private_vehicle_retained,secondary,14,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00890801,hk_hh_0330890,day_school_student,student_original_private_vehicle_retained,primary,11,M,child,1,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00897019,hk_hh_0333146,day_school_student,student_swap_car_household_donor,primary,6,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00902102,hk_hh_0335082,fixed_worker,adult_retained_private_car_passenger_van,,57,M,reference_person,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00904241,hk_hh_0335860,day_school_student,student_original_private_vehicle_retained,secondary,17,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00904387,hk_hh_0335917,fixed_worker,adult_retained_private_car_passenger_van,,28,F,reference_person,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00920361,hk_hh_0341364,day_school_student,student_swap_car_household_donor,secondary,13,F,child,1,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00922115,hk_hh_0341982,day_school_student,student_swap_car_household_donor,primary,7,F,child,3,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00922902,hk_hh_0342262,day_school_student,student_swap_car_household_donor,kindergarten,4,M,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00932644,hk_hh_0345728,day_school_student,student_swap_car_household_donor,kindergarten,5,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00934661,hk_hh_0346456,day_school_student,student_swap_car_household_donor,secondary,12,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00951209,hk_hh_0352508,day_school_student,student_swap_car_household_donor,secondary,15,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00956110,hk_hh_0354403,day_school_student,student_swap_car_household_donor,secondary,13,M,child,1,2,0,0,0,0,no_real_driver_current_plan,
hk_person_00973221,hk_hh_0360493,day_school_student,student_swap_car_household_donor,primary,6,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00980339,hk_hh_0363299,day_school_student,student_original_private_vehicle_retained,secondary,17,M,child,1,2,1,0,0,0,partial_compatible_existing_legs,
hk_person_00987331,hk_hh_0366021,day_school_student,student_swap_car_household_donor,secondary,14,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00987838,hk_hh_0366186,day_school_student,student_original_private_vehicle_retained,secondary,13,M,child,1,2,2,2,1,1,complete_direct_same_driver,hk_person_00987837
hk_person_00995567,hk_hh_0368647,day_school_student,student_swap_car_household_donor,secondary,17,M,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00995671,hk_hh_0368683,day_school_student,student_swap_car_household_donor,primary,10,F,child,2,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_00996677,hk_hh_0369016,day_school_student,student_swap_car_household_donor,primary,10,F,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_01001779,hk_hh_0370686,day_school_student,student_swap_car_household_donor,primary,11,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_01002280,hk_hh_0370843,day_school_student,student_swap_car_household_donor,secondary,15,M,child,3,2,0,0,0,0,real_driver_no_compatible_tour,
hk_person_01042802,hk_hh_0384979,day_school_student,student_original_private_vehicle_retained,secondary,15,M,child,1,2,0,0,0,0,real_driver_no_compatible_tour,
