quote_id,actual_transport_mode,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,passenger_type,payment_medium,service_class,vessel_service_type,travel_date,day_type,temporal_basis,cost_component,fare_amount_role,published_fare_hkd,cost_hkd,cost_source,cost_effective_date,cost_effective_date_status,source_revision_cutoff_date,source_download_date,cost_quality,mapping_status,mapping_quality,cost_applicability_status,source_record_id,unresolved_reason,transfer_concession_hkd,transfer_concession_status
passenger_type_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,adult,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,passenger_type_not_explicitly_supported_by_source,,not_modelled
octopus_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,Octopus,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,payment_medium_not_explicitly_supported_by_source,,not_modelled
cash_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,cash,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,payment_medium_not_explicitly_supported_by_source,,not_modelled
service_class_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,standard,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,service_class_not_explicitly_supported_by_source,,not_modelled
vessel_type_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,ordinary,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,vessel_service_type_not_explicitly_supported_by_source,,not_modelled
day_type_not_supported,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,weekday,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,day_type_not_explicitly_supported_by_source,,not_modelled
full_fare_reference_not_fallback,ferry,ferry_7000003_1911228024,7000003,1,101113,101113,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,ordered_stop_od_rule_missing_full_fare_reference_not_used,,not_modelled
temporal_basis_missing,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,temporal_basis_must_be_source_snapshot_only,,not_modelled
temporal_basis_wrong,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,travel_date_applicability,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,temporal_basis_must_be_source_snapshot_only,,not_modelled
nonempty_travel_date,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,2026-07-14,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,fare_effective_period_not_encoded_for_travel_date,,not_modelled
transfer_concession_requested,ferry,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,published_fare_passenger_and_payment_basis_unspecified,16.2,16.2,td_gtfs_20260720,,not_encoded_in_source_revision_cutoff_only,2026-07-14,2026-07-20,B,exact,A,published_amount_only_passenger_payment_class_vessel_day_and_effective_period_unspecified,gtfs:fare_rules.txt:872552|fare_attributes.txt:872552|fare_id:7000003-1-1-2,,,not_modelled
generic_pt_mode,pt,ferry_7000003_1911228024,7000003,1,101113,101114,unspecified,unspecified,unspecified,unspecified,,unspecified,source_snapshot_only,pt_fare,,,,,,,,,U,unresolved,U,unresolved,,actual_transport_mode_must_be_ferry,,not_modelled
