candidate_group_id,household_id,candidate_source,new_candidate,passenger_person_id,passenger_leg_index,driver_person_id,driver_leg_index,vehicle_id,passenger_planned_departure_time_s,driver_planned_departure_time_s,passenger_ready_before_driver_s,origin_access_gap_m,destination_egress_gap_m,passenger_pickup_link,passenger_dropoff_link,driver_route_start_link,driver_route_end_link
joint:hk_hh_0054835:hk_person_00152270:0,hk_hh_0054835,legacy_complete_direct_pair,false,hk_person_00152270,0,hk_person_00152269,1,hk_vehicle_0016415,25331.0,25388.0,57.0,36.99649315084832,10.581175108143558,road_260349_0_f,road_2147_0_f,road_260349_0_f,road_2147_0_f
joint:hk_hh_0054835:hk_person_00152270:1,hk_hh_0054835,legacy_complete_direct_pair,false,hk_person_00152270,1,hk_person_00152269,10,hk_vehicle_0016415,54774.0,54790.0,16.0,10.581175108143558,36.99649315084832,road_2147_0_f,road_260349_0_f,road_2147_0_f,road_260349_0_f
joint:hk_hh_0056864:hk_person_00157278:0,hk_hh_0056864,existing_car_leg_detour_screen,true,hk_person_00157278,0,hk_person_00157276,1,hk_vehicle_0016852,30745.0,28967.0,-1778.0,15.668282547832113,11235.971148913186,road_540_0_f,road_115817_0_f,road_540_0_f,road_268539_0_f
joint:hk_hh_0070232:hk_person_00188618:0,hk_hh_0070232,legacy_complete_direct_pair,false,hk_person_00188618,0,hk_person_00188617,1,hk_vehicle_0020010,27241.0,27245.0,4.0,2.8818912852751293,16.282416927490775,road_2035_0_f,road_3496_0_f,road_2035_0_f,road_3496_0_f
joint:hk_hh_0070232:hk_person_00188618:1,hk_hh_0070232,legacy_complete_direct_pair,false,hk_person_00188618,1,hk_person_00188617,10,hk_vehicle_0020010,46269.0,46294.0,25.0,16.282416927490775,2.8818912852751293,road_3496_0_f,road_2035_0_f,road_3496_0_f,road_2035_0_f
joint:hk_hh_0093819:hk_person_00242066:0,hk_hh_0093819,legacy_complete_direct_pair,false,hk_person_00242066,0,hk_person_00242064,1,hk_vehicle_0026041,26202.0,26207.0,5.0,3.5078370031408195,2.696006602902233,road_5774_0_f,road_1672_0_f,road_5774_0_f,road_1672_0_f
joint:hk_hh_0093819:hk_person_00242066:1,hk_hh_0093819,legacy_complete_direct_pair,false,hk_person_00242066,1,hk_person_00242064,10,hk_vehicle_0026041,59234.0,59238.0,4.0,2.696006602902233,3.5078370031408195,road_1672_0_f,road_5774_0_f,road_1672_0_f,road_5774_0_f
joint:hk_hh_0104880:hk_person_00268130:0,hk_hh_0104880,existing_car_leg_detour_screen,true,hk_person_00268130,0,hk_person_00268129,1,hk_vehicle_0029345,30265.0,30427.0,162.0,8.935486836190723,6178.313733947601,road_1998_0_f,road_115756_0_f,road_1998_0_f,road_1283_0_r
joint:hk_hh_0105190:hk_person_00268950:0,hk_hh_0105190,legacy_complete_direct_pair,false,hk_person_00268950,0,hk_person_00268949,1,hk_vehicle_0029438,26005.0,26016.0,11.0,7.399105148381014,38.89695521501558,road_3682_0_r,road_272723_0_r,road_3682_0_r,road_272723_0_r
joint:hk_hh_0105190:hk_person_00268950:1,hk_hh_0105190,legacy_complete_direct_pair,false,hk_person_00268950,1,hk_person_00268949,10,hk_vehicle_0029438,54458.0,54518.0,60.0,38.89695521501558,7.399105148381014,road_272723_0_r,road_3682_0_r,road_272723_0_r,road_3682_0_r
joint:hk_hh_0119685:hk_person_00307255:0,hk_hh_0119685,legacy_complete_direct_pair,false,hk_person_00307255,0,hk_person_00307253,1,hk_vehicle_0034077,27794.0,27848.0,54.0,34.74636163947571,58.73442739994454,road_1930_0_f,road_4561_0_f,road_1930_0_f,road_4561_0_f
joint:hk_hh_0119685:hk_person_00307255:1,hk_hh_0119685,legacy_complete_direct_pair,false,hk_person_00307255,1,hk_person_00307253,10,hk_vehicle_0034077,56606.0,56697.0,91.0,58.73442739994454,34.74636163947571,road_4561_0_f,road_1930_0_f,road_4561_0_f,road_1930_0_f
joint:hk_hh_0139806:hk_person_00366395:0,hk_hh_0139806,legacy_complete_direct_pair,false,hk_person_00366395,0,hk_person_00366392,1,hk_vehicle_0042884,30881.0,30911.0,30.0,19.501301056287687,62.471169511226535,road_4148_0_f,road_3350_0_r,road_4148_0_f,road_3350_0_r
joint:hk_hh_0139806:hk_person_00366395:1,hk_hh_0139806,legacy_complete_direct_pair,false,hk_person_00366395,1,hk_person_00366392,10,hk_vehicle_0042884,53892.0,53989.0,97.0,62.471169511226535,19.501301056287687,road_3350_0_r,road_4148_0_f,road_3350_0_r,road_4148_0_f
joint:hk_hh_0191039:hk_person_00500253:0,hk_hh_0191039,legacy_complete_direct_pair,false,hk_person_00500253,0,hk_person_00500252,1,hk_vehicle_0056256,24175.0,24203.0,28.0,18.059256399282248,29.532446409190843,road_1670_0_f,road_4439_0_f,road_1670_0_f,road_4439_0_f
joint:hk_hh_0191039:hk_person_00500253:1,hk_hh_0191039,legacy_complete_direct_pair,false,hk_person_00500253,1,hk_person_00500252,10,hk_vehicle_0056256,55456.0,55502.0,46.0,29.532446409190843,18.059256399282248,road_4439_0_f,road_1670_0_f,road_4439_0_f,road_1670_0_f
joint:hk_hh_0211956:hk_person_00560367:0,hk_hh_0211956,legacy_complete_direct_pair,false,hk_person_00560367,0,hk_person_00560366,1,hk_vehicle_0060896,27632.0,27646.0,14.0,9.203518855700242,67.43461491420445,road_1215_0_f,road_165512_0_f,road_1215_0_f,road_165512_0_f
joint:hk_hh_0211956:hk_person_00560367:1,hk_hh_0211956,legacy_complete_direct_pair,false,hk_person_00560367,1,hk_person_00560366,10,hk_vehicle_0060896,59485.0,59590.0,105.0,67.43461491420445,9.203518855700242,road_165512_0_f,road_1215_0_f,road_165512_0_f,road_1215_0_f
joint:hk_hh_0223539:hk_person_00595061:0,hk_hh_0223539,legacy_complete_direct_pair,false,hk_person_00595061,0,hk_person_00595062,1,hk_vehicle_0062666,27296.0,27350.0,54.0,35.19270551375216,17.731322877390046,road_3077_0_f,road_2627_0_f,road_3077_0_f,road_2627_0_f
joint:hk_hh_0223539:hk_person_00595061:1,hk_hh_0223539,legacy_complete_direct_pair,false,hk_person_00595061,1,hk_person_00595062,10,hk_vehicle_0062666,56273.0,56300.0,27.0,17.731322877390046,35.19270551375216,road_2627_0_f,road_3077_0_f,road_2627_0_f,road_3077_0_f
joint:hk_hh_0227492:hk_person_00605500:0,hk_hh_0227492,legacy_complete_direct_pair,false,hk_person_00605500,0,hk_person_00605497,1,hk_vehicle_0063087,27100.0,27138.0,38.0,24.905512685953358,26.924759398070233,road_2314_0_f,road_1400_0_f,road_2314_0_f,road_1400_0_f
joint:hk_hh_0227492:hk_person_00605500:1,hk_hh_0227492,legacy_complete_direct_pair,false,hk_person_00605500,1,hk_person_00605497,10,hk_vehicle_0063087,57761.0,57803.0,42.0,26.924759398070233,24.905512685953358,road_1400_0_f,road_2314_0_f,road_1400_0_f,road_2314_0_f
joint:hk_hh_0233107:hk_person_00619546:0,hk_hh_0233107,existing_car_leg_detour_screen,true,hk_person_00619546,0,hk_person_00619545,1,hk_vehicle_0063659,27828.0,28420.0,592.0,18.442179534875255,4476.857087134474,road_4396_0_f,road_3728_0_f,road_4396_0_f,road_115550_0_f
joint:hk_hh_0247505:hk_person_00663165:0,hk_hh_0247505,legacy_complete_direct_pair,false,hk_person_00663165,0,hk_person_00663164,1,hk_vehicle_0067842,26872.0,26886.0,14.0,9.484407941526095,15.401676041500014,road_4590_0_f,road_4472_0_r,road_4590_0_f,road_4472_0_r
joint:hk_hh_0247505:hk_person_00663165:1,hk_hh_0247505,legacy_complete_direct_pair,false,hk_person_00663165,1,hk_person_00663164,10,hk_vehicle_0067842,56033.0,56057.0,24.0,15.401676041500014,9.484407941526095,road_4472_0_r,road_4590_0_f,road_4472_0_r,road_4590_0_f
joint:hk_hh_0253026:hk_person_00679028:0,hk_hh_0253026,legacy_complete_direct_pair,false,hk_person_00679028,0,hk_person_00679027,1,hk_vehicle_0069343,26628.0,26635.0,7.0,4.811943065353179,29.969419460154633,road_1866_0_f,road_2139_0_f,road_1866_0_f,road_2139_0_f
joint:hk_hh_0253026:hk_person_00679028:1,hk_hh_0253026,legacy_complete_direct_pair,false,hk_person_00679028,1,hk_person_00679027,10,hk_vehicle_0069343,57010.0,57056.0,46.0,29.969419460154633,4.811943065353179,road_2139_0_f,road_1866_0_f,road_2139_0_f,road_1866_0_f
joint:hk_hh_0265303:hk_person_00710613:1,hk_hh_0265303,existing_car_leg_direct,true,hk_person_00710613,1,hk_person_00710612,7,hk_vehicle_0072026,53218.0,52625.0,-593.0,271.89231112101413,6.1231494205087875,road_2862_0_f,road_2838_0_f,road_3796_0_r,road_2838_0_f
joint:hk_hh_0265470:hk_person_00711062:0,hk_hh_0265470,legacy_complete_direct_pair,false,hk_person_00711062,0,hk_person_00711060,1,hk_vehicle_0072066,25279.0,25294.0,15.0,9.94349043329842,18.148140819257083,road_115887_0_f,road_102594_0_f,road_115887_0_f,road_102594_0_f
joint:hk_hh_0265470:hk_person_00711062:1,hk_hh_0265470,legacy_complete_direct_pair,false,hk_person_00711062,1,hk_person_00711060,10,hk_vehicle_0072066,56312.0,56340.0,28.0,18.148140819257083,9.94349043329842,road_102594_0_f,road_115887_0_f,road_102594_0_f,road_115887_0_f
joint:hk_hh_0287182:hk_person_00767944:0,hk_hh_0287182,legacy_complete_direct_pair,false,hk_person_00767944,0,hk_person_00767941,1,hk_vehicle_0077088,27784.0,27882.0,98.0,63.16486169231681,22.30406777360454,road_1468_0_f,road_3775_0_f,road_1468_0_f,road_3775_0_f
joint:hk_hh_0287182:hk_person_00767944:1,hk_hh_0287182,legacy_complete_direct_pair,false,hk_person_00767944,1,hk_person_00767941,10,hk_vehicle_0077088,43348.0,43382.0,34.0,22.30406777360454,63.16486169231681,road_3775_0_f,road_1468_0_f,road_3775_0_f,road_1468_0_f
joint:hk_hh_0296809:hk_person_00794900:0,hk_hh_0296809,legacy_complete_direct_pair,false,hk_person_00794900,0,hk_person_00794897,1,hk_vehicle_0079692,26766.0,26795.0,29.0,19.074368182731163,41.48890460133771,road_3052_0_f,road_3739_0_f,road_3052_0_f,road_3739_0_f
joint:hk_hh_0296809:hk_person_00794900:1,hk_hh_0296809,legacy_complete_direct_pair,false,hk_person_00794900,1,hk_person_00794897,10,hk_vehicle_0079692,55978.0,56042.0,64.0,41.48890460133771,19.074368182731163,road_3739_0_f,road_3052_0_f,road_3739_0_f,road_3052_0_f
joint:hk_hh_0307690:hk_person_00825060:0,hk_hh_0307690,legacy_complete_direct_pair,false,hk_person_00825060,0,hk_person_00825056,1,hk_vehicle_0081609,27212.0,27264.0,52.0,33.498167860486596,27.409686883851215,road_3421_0_f,road_3086_0_r,road_3421_0_f,road_3086_0_r
joint:hk_hh_0307690:hk_person_00825060:1,hk_hh_0307690,legacy_complete_direct_pair,false,hk_person_00825060,1,hk_person_00825056,10,hk_vehicle_0081609,58753.0,58795.0,42.0,27.409686883851215,33.498167860486596,road_3086_0_r,road_3421_0_f,road_3086_0_r,road_3421_0_f
joint:hk_hh_0330890:hk_person_00890801:0,hk_hh_0330890,existing_car_leg_detour_screen,true,hk_person_00890801,0,hk_person_00890798,1,hk_vehicle_0085576,27685.0,26681.0,-1004.0,45.26773953617442,2457.6385804199253,road_3042_0_f,road_3858_0_f,road_3042_0_f,road_268541_0_r
joint:hk_hh_0341364:hk_person_00920361:0,hk_hh_0341364,existing_car_leg_detour_screen,true,hk_person_00920361,0,hk_person_00920358,1,hk_vehicle_0086856,27083.0,27822.0,739.0,42.02250685035706,5990.983952617867,road_115550_0_f,road_2964_0_f,road_115550_0_f,road_2939_0_r
joint:hk_hh_0341982:hk_person_00922115:0,hk_hh_0341982,existing_car_leg_detour_screen,true,hk_person_00922115,0,hk_person_00922112,1,hk_vehicle_0087096,27954.0,28385.0,431.0,92.7322311226102,2878.5372962364304,road_3197_0_f,road_3728_0_f,road_3197_0_f,road_270529_0_f
joint:hk_hh_0363299:hk_person_00980339:0,hk_hh_0363299,existing_car_leg_detour_screen,true,hk_person_00980339,0,hk_person_00980338,1,hk_vehicle_0092421,23400.0,23194.0,-206.0,17.33053031497264,983.1418931391852,road_3195_0_f,road_4756_0_f,road_3195_0_f,road_1268_0_r
joint:hk_hh_0366186:hk_person_00987838:0,hk_hh_0366186,legacy_complete_direct_pair,false,hk_person_00987838,0,hk_person_00987837,1,hk_vehicle_0092975,30113.0,30308.0,195.0,125.56645115879233,29.487534518692918,road_2169_0_f,road_5640_0_f,road_2169_0_f,road_5640_0_f
joint:hk_hh_0366186:hk_person_00987838:1,hk_hh_0366186,legacy_complete_direct_pair,false,hk_person_00987838,1,hk_person_00987837,10,hk_vehicle_0092975,56956.0,57002.0,46.0,29.487534518692918,125.56645115879233,road_5640_0_f,road_2169_0_f,road_5640_0_f,road_2169_0_f
joint:hk_hh_0386831:hk_person_01048352:0,hk_hh_0386831,existing_car_leg_detour_screen,true,hk_person_01048352,0,hk_person_01048350,1,hk_vehicle_0098736,25330.0,25861.0,531.0,17.050251451982735,4235.914036777143,road_4293_0_f,road_4756_0_f,road_4293_0_f,road_284571_0_r
joint:hk_hh_0414865:hk_person_01130791:0,hk_hh_0414865,legacy_complete_direct_pair,false,hk_person_01130791,0,hk_person_01130790,1,hk_vehicle_0106497,26140.0,26174.0,34.0,21.96744716363522,174.64416047276805,road_64206_0_f,road_107412_0_f,road_64206_0_f,road_107412_0_f
joint:hk_hh_0414865:hk_person_01130791:1,hk_hh_0414865,legacy_complete_direct_pair,false,hk_person_01130791,1,hk_person_01130790,10,hk_vehicle_0106497,58470.0,58742.0,272.0,174.64416047276805,21.96744716363522,road_107412_0_f,road_64206_0_f,road_107412_0_f,road_64206_0_f
joint:hk_hh_0421572:hk_person_01154922:0,hk_hh_0421572,legacy_complete_direct_pair,false,hk_person_01154922,0,hk_person_01154918,1,hk_vehicle_0109607,27564.0,27617.0,53.0,34.3419114931278,39.79647391438744,road_3624_0_f,road_2103_0_f,road_3624_0_f,road_2103_0_f
joint:hk_hh_0421572:hk_person_01154922:1,hk_hh_0421572,legacy_complete_direct_pair,false,hk_person_01154922,1,hk_person_01154918,10,hk_vehicle_0109607,43811.0,43873.0,62.0,39.79647391438744,34.3419114931278,road_2103_0_f,road_3624_0_f,road_2103_0_f,road_3624_0_f
joint:hk_hh_0434473:hk_person_03085632:0,hk_hh_0434473,legacy_complete_direct_pair,false,hk_person_03085632,0,hk_person_03085631,1,hk_vehicle_0213045,26851.0,26853.0,2.0,1.4392007858175733,40.54298016639977,road_106920_0_f,road_107088_0_f,road_106920_0_f,road_107088_0_f
joint:hk_hh_0434473:hk_person_03085632:1,hk_hh_0434473,legacy_complete_direct_pair,false,hk_person_03085632,1,hk_person_03085631,10,hk_vehicle_0213045,56358.0,56421.0,63.0,40.54298016639977,1.4392007858175733,road_107088_0_f,road_106920_0_f,road_107088_0_f,road_106920_0_f
joint:hk_hh_0436735:hk_person_03092605:0,hk_hh_0436735,legacy_complete_direct_pair,false,hk_person_03092605,0,hk_person_03092604,1,hk_vehicle_0213592,26444.0,26449.0,5.0,3.2802086009071405,33.508748400998336,road_105386_0_f,road_284530_0_f,road_105386_0_f,road_284530_0_f
joint:hk_hh_0436735:hk_person_03092605:1,hk_hh_0436735,legacy_complete_direct_pair,false,hk_person_03092605,1,hk_person_03092604,10,hk_vehicle_0213592,57769.0,57821.0,52.0,33.508748400998336,3.2802086009071405,road_284530_0_f,road_105386_0_f,road_284530_0_f,road_105386_0_f
joint:hk_hh_0439741:hk_person_03100002:0,hk_hh_0439741,legacy_complete_direct_pair,false,hk_person_03100002,0,hk_person_03100004,1,hk_vehicle_0214032,25882.0,25922.0,40.0,26.061633416399832,40.54298016639977,road_284826_0_f,road_107088_0_f,road_284826_0_f,road_107088_0_f
joint:hk_hh_0439741:hk_person_03100002:1,hk_hh_0439741,legacy_complete_direct_pair,false,hk_person_03100002,1,hk_person_03100004,10,hk_vehicle_0214032,53888.0,53951.0,63.0,40.54298016639977,26.061633416399832,road_107088_0_f,road_284826_0_f,road_107088_0_f,road_284826_0_f
joint:hk_hh_0443491:hk_person_03109027:0,hk_hh_0443491,existing_car_leg_detour_screen,true,hk_person_03109027,0,hk_person_03109024,1,hk_vehicle_0214545,27506.0,28890.0,1384.0,31.35898141086705,3818.8307034376458,road_104795_0_f,road_105738_0_f,road_104795_0_f,road_2049_0_r
joint:hk_hh_0549008:hk_person_03365979:0,hk_hh_0549008,legacy_complete_direct_pair,false,hk_person_03365979,0,hk_person_03365977,1,hk_vehicle_0224076,26348.0,26387.0,39.0,25.413705435770105,41.53785514450967,road_104210_0_f,road_285133_0_f,road_104210_0_f,road_285133_0_f
joint:hk_hh_0549008:hk_person_03365979:1,hk_hh_0549008,legacy_complete_direct_pair,false,hk_person_03365979,1,hk_person_03365977,10,hk_vehicle_0224076,43589.0,43653.0,64.0,41.53785514450967,25.413705435770105,road_285133_0_f,road_104210_0_f,road_285133_0_f,road_104210_0_f
joint:hk_hh_0562323:hk_person_01199949:0,hk_hh_0562323,legacy_complete_direct_pair,false,hk_person_01199949,0,hk_person_01199948,1,hk_vehicle_0113353,31347.0,31401.0,54.0,35.20224097599539,14.525449837994797,road_106240_0_f,road_106442_0_f,road_106240_0_f,road_106442_0_f
joint:hk_hh_0562323:hk_person_01199949:1,hk_hh_0562323,legacy_complete_direct_pair,false,hk_person_01199949,1,hk_person_01199948,10,hk_vehicle_0113353,58087.0,58109.0,22.0,14.525449837994797,35.20224097599539,road_106442_0_f,road_106240_0_f,road_106442_0_f,road_106240_0_f
joint:hk_hh_0578408:hk_person_01237857:0,hk_hh_0578408,legacy_complete_direct_pair,false,hk_person_01237857,0,hk_person_01237858,1,hk_vehicle_0114928,27859.0,27882.0,23.0,15.092647433303224,33.0210730154165,road_106718_0_f,road_111707_0_f,road_106718_0_f,road_111707_0_f
joint:hk_hh_0578408:hk_person_01237857:1,hk_hh_0578408,legacy_complete_direct_pair,false,hk_person_01237857,1,hk_person_01237858,10,hk_vehicle_0114928,53945.0,53996.0,51.0,33.0210730154165,15.092647433303224,road_111707_0_f,road_106718_0_f,road_111707_0_f,road_106718_0_f
joint:hk_hh_0583511:hk_person_01250243:0,hk_hh_0583511,legacy_complete_direct_pair,false,hk_person_01250243,0,hk_person_01250242,1,hk_vehicle_0115592,26848.0,26871.0,23.0,15.1954051033804,24.415600719537522,road_106092_0_f,road_9677_0_f,road_106092_0_f,road_9677_0_f
joint:hk_hh_0583511:hk_person_01250243:1,hk_hh_0583511,legacy_complete_direct_pair,false,hk_person_01250243,1,hk_person_01250242,10,hk_vehicle_0115592,45654.0,45692.0,38.0,24.415600719537522,15.1954051033804,road_9677_0_f,road_106092_0_f,road_9677_0_f,road_106092_0_f
joint:hk_hh_0589193:hk_person_01263826:0,hk_hh_0589193,existing_car_leg_detour_screen,true,hk_person_01263826,0,hk_person_01263825,1,hk_vehicle_0116305,27333.0,27069.0,-264.0,21.120815120322433,15605.572796498735,road_106296_0_f,road_106385_0_f,road_106296_0_f,road_163839_0_r
joint:hk_hh_0596186:hk_person_01279884:0,hk_hh_0596186,legacy_complete_direct_pair,false,hk_person_01279884,0,hk_person_01279882,1,hk_vehicle_0117212,24911.0,24946.0,35.0,22.503509712552273,26.013967356754712,road_107079_0_f,road_106561_0_f,road_107079_0_f,road_106561_0_f
joint:hk_hh_0596186:hk_person_01279884:1,hk_hh_0596186,legacy_complete_direct_pair,false,hk_person_01279884,1,hk_person_01279882,10,hk_vehicle_0117212,57018.0,57058.0,40.0,26.013967356754712,22.503509712552273,road_106561_0_f,road_107079_0_f,road_106561_0_f,road_107079_0_f
joint:hk_hh_0641557:hk_person_01393089:0,hk_hh_0641557,existing_car_leg_detour_screen,true,hk_person_01393089,0,hk_person_01393088,1,hk_vehicle_0122072,29382.0,28670.0,-712.0,12.132616000373984,8032.993775346799,road_107046_0_f,road_105314_0_f,road_107046_0_f,road_268539_0_f
joint:hk_hh_0642140:hk_person_01394657:1,hk_hh_0642140,existing_car_leg_detour_screen,true,hk_person_01394657,1,hk_person_01394656,1,hk_vehicle_0122165,55256.0,56936.0,1680.0,77.82350907966999,4857.6314561791,road_8646_0_f,road_8015_0_f,road_8015_0_f,road_59528_0_r
joint:hk_hh_0653633:hk_person_01429327:0,hk_hh_0653633,existing_car_leg_detour_screen,true,hk_person_01429327,0,hk_person_01429328,1,hk_vehicle_0124219,25590.0,26736.0,1146.0,63.398059378835164,6994.705451275375,road_111706_0_f,road_104888_0_f,road_111706_0_f,road_3759_0_r
joint:hk_hh_0653769:hk_person_01429732:0,hk_hh_0653769,legacy_complete_direct_pair,false,hk_person_01429732,0,hk_person_01429730,1,hk_vehicle_0124255,29992.0,30009.0,17.0,10.91766768076992,75.11494973057181,road_8300_0_f,road_129517_0_r,road_8300_0_f,road_129517_0_r
joint:hk_hh_0653769:hk_person_01429732:1,hk_hh_0653769,legacy_complete_direct_pair,false,hk_person_01429732,1,hk_person_01429730,10,hk_vehicle_0124255,44775.0,44892.0,117.0,75.11494973057181,10.91766768076992,road_129517_0_r,road_8300_0_f,road_129517_0_r,road_8300_0_f
joint:hk_hh_0653803:hk_person_01429843:0,hk_hh_0653803,existing_car_leg_detour_screen,true,hk_person_01429843,0,hk_person_01429842,1,hk_vehicle_0124263,27017.0,25583.0,-1434.0,14.087487996273676,2531.7926552476533,road_8657_0_f,road_1753_0_f,road_8657_0_f,road_4192_0_f
joint:hk_hh_0660025:hk_person_01449159:0,hk_hh_0660025,existing_car_leg_detour_screen,true,hk_person_01449159,0,hk_person_01449158,1,hk_vehicle_0125858,24604.0,23548.0,-1056.0,3.696300788198698,5580.41901937563,road_7399_0_f,road_106516_0_r,road_7399_0_f,road_101944_0_f
joint:hk_hh_0668060:hk_person_01472339:0,hk_hh_0668060,existing_car_leg_detour_screen,true,hk_person_01472339,0,hk_person_01472337,1,hk_vehicle_0127668,27154.0,27046.0,-108.0,16.856135674439592,7084.697170028142,road_8019_0_f,road_106548_0_r,road_8019_0_f,road_115880_0_r
joint:hk_hh_0717474:hk_person_01599527:0,hk_hh_0717474,legacy_complete_direct_pair,false,hk_person_01599527,0,hk_person_01599526,1,hk_vehicle_0133192,28303.0,28397.0,94.0,60.49955878354696,41.776030872806885,road_115906_0_r,road_107328_0_f,road_115906_0_r,road_107328_0_f
joint:hk_hh_0717474:hk_person_01599527:1,hk_hh_0717474,legacy_complete_direct_pair,false,hk_person_01599527,1,hk_person_01599526,10,hk_vehicle_0133192,56514.0,56579.0,65.0,41.776030872806885,60.49955878354696,road_107328_0_f,road_115906_0_r,road_107328_0_f,road_115906_0_r
joint:hk_hh_0724093:hk_person_01618291:0,hk_hh_0724093,existing_car_leg_detour_screen,true,hk_person_01618291,0,hk_person_01618290,1,hk_vehicle_0134517,27279.0,28762.0,1483.0,87.08905430629956,4045.097316549269,road_107424_0_f,road_104762_0_r,road_107424_0_f,road_260326_0_f
joint:hk_hh_0726715:hk_person_01624770:0,hk_hh_0726715,legacy_complete_direct_pair,false,hk_person_01624770,0,hk_person_01624769,1,hk_vehicle_0135072,29126.0,29158.0,32.0,20.640837155443446,57.094774349315585,road_102307_0_f,road_102367_0_f,road_102307_0_f,road_102367_0_f
joint:hk_hh_0726715:hk_person_01624770:1,hk_hh_0726715,legacy_complete_direct_pair,false,hk_person_01624770,1,hk_person_01624769,10,hk_vehicle_0135072,54514.0,54603.0,89.0,57.094774349315585,20.640837155443446,road_102367_0_f,road_102307_0_f,road_102367_0_f,road_102307_0_f
joint:hk_hh_0731798:hk_person_01637692:0,hk_hh_0731798,legacy_complete_direct_pair,false,hk_person_01637692,0,hk_person_01637691,1,hk_vehicle_0136214,25733.0,25788.0,55.0,35.45421814823082,31.13263541356456,road_102316_0_f,road_284006_0_f,road_102316_0_f,road_284006_0_f
joint:hk_hh_0731798:hk_person_01637692:1,hk_hh_0731798,legacy_complete_direct_pair,false,hk_person_01637692,1,hk_person_01637691,10,hk_vehicle_0136214,55456.0,55504.0,48.0,31.13263541356456,35.45421814823082,road_284006_0_f,road_102316_0_f,road_284006_0_f,road_102316_0_f
joint:hk_hh_0757299:hk_person_01705618:0,hk_hh_0757299,existing_car_leg_detour_screen,true,hk_person_01705618,0,hk_person_01705616,1,hk_vehicle_0141011,28882.0,28701.0,-181.0,11.756406327788067,8582.19842321768,road_104748_0_f,road_105546_0_f,road_104748_0_f,road_4472_0_r
