source_table,field_name,field_present,distinct_nonblank_sample_count,audited_meaning,semantic_status,limitation
bus_route_stop_points.json,hyperlinkE,True,21,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,hyperlinkS,True,21,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,journeyTime,True,18,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,lastUpdateDate,True,11,record_update_timestamp_not_fare_effective_date,provenance_only,
bus_route_stop_points.json,locEndNameC,True,18,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,locEndNameE,True,19,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,locEndNameS,True,18,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,locStartNameC,True,17,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,locStartNameE,True,17,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,locStartNameS,True,17,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,routeId,True,21,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,routeNameC,True,21,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,routeNameE,True,21,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,routeNameS,True,21,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,routeSeq,True,2,official_route_sequence,encoded,direction is exact only after a unique complete stop-pattern match
bus_route_stop_points.json,routeType,True,1,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,serviceMode,True,2,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,specialType,True,2,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,stopId,True,637,official_stop_id,encoded,
bus_route_stop_points.json,stopNameC,True,610,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,stopNameE,True,612,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,stopNameS,True,610,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,stopPickDrop,True,3,source_identification_description_or_provenance,reference_only,
bus_route_stop_points.json,stopSeq,True,48,ordered_stop_position,encoded,
franchised_bus_routes.geojson,COMPANY_CODE,True,6,operator_code_in_official_franchised_bus_geometry_layer,encoded,
franchised_bus_routes.geojson,ED_STOP_ID,True,341,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ED_STOP_NAMEC,True,412,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ED_STOP_NAMEE,True,418,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ED_STOP_NAMES,True,412,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,OBJECTID,True,1000,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ROUTE_ID,True,602,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ROUTE_NAMEE,True,533,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ROUTE_SEQ,True,2,official_geometry_route_sequence,encoded,not used in place of complete route-stop pattern evidence
franchised_bus_routes.geojson,ST_STOP_ID,True,333,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ST_STOP_NAMEC,True,411,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ST_STOP_NAMEE,True,416,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,ST_STOP_NAMES,True,412,source_identification_description_or_provenance,reference_only,
franchised_bus_routes.geojson,Shape__Length,True,999,source_identification_description_or_provenance,reference_only,
cross_source_question,price_adult_child,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
cross_source_question,price_cash_octopus,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
cross_source_question,price_ticket_type_or_sectional_scope,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
cross_source_question,fare_rules_direction,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
cross_source_question,fare_rules_route_sequence,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
cross_source_question,fare_rules_day_or_time,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
cross_source_question,json_per_stop_or_section_fare,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
cross_source_question,json_unconditional_flat_fare,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
cross_source_question,route_specific_fare_effective_date,False,0,unspecified_in_source,unspecified_in_source,not encoded in the retained official source fields
